BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0202020L0AACXCX,Furosemide 200mg/5ml oral liquid,Furosemide
0203020I0AABVBV,Flecainide 50mg/5ml oral solution sugar free,Flecainide acetate
0205052N0AAAMAM,Losartan 50mg/5ml oral solution sugar free,Losartan potassium
0301011R0CCAAAP,Asthalin 100micrograms/dose inhaler,Salbutamol
0401010ADAACJCJ,Melatonin 7mg/5ml oral solution,Melatonin
0401010Y0BCAAAD,Zalzo 5mg orodispersible tablets,Zolpidem tartrate
0403030X0BCAAAG,Enalto 5mg orodispersible tablets,Escitalopram
0407020B0BVADAK,Rebrikel 15micrograms/hour transdermal patches,Buprenorphine
0409010A0AABCBC,Apomorphine 10mg sublingual films sugar free,Apomorphine hydrochloride
0411000E0BMAAAG,Alzakt 9.5mg/24hours transdermal patches,Rivastigmine
0501021E0AAAEAE,Cefoxitin 2g powder for solution for injection vials,Cefoxitin sodium
0601023AWAAAPAP,Semaglutide 0.5mg/0.75ml inj 3ml pf dispos dev,Semaglutide
0602020D0AABABA,Carbimazole 2.5mg/ml oral solution sugar free,Carbimazole
0606020Z0BGAAAB,Enwylma 120mg/1.7ml solution for injection vials,Denosumab
0606020Z0BKAAAA,Bildyos 60mg/1ml solution for injection pre-filled syringes,Denosumab
0704030G0AABCBC,Potassium citrate 1.08g modified-release tablets,Potassium citrate
0802040BEAAAAAA,Belumosudil 200mg tablets,Belumosudil
0901020T0BEAAAG,AmcoMin 500microgram tablets,Mecobalamin
0902013S0BGAAAC,AciBic 500mg capsules,Sodium bicarbonate
0905030G0BCAGBC,Endekay 0.05% fluoride mouthrinse alcohol free,Sodium fluoride
090504400BBBDA0,Premier Kelp 270mg tablets,Other kelp preparations
0906011D0BIAAAH,AAnDD capsules,Vitamin A
0906040G0DQABEC,"G & G Vitamin D3 Plus 4,000unit capsules",Colecalciferol
0906040G0EZAGFR,AaCa D3 Plus 2.5g/800unit chewable tablets,Colecalciferol
0906040N0CHAAA1,Acteos tablets,Ergocalciferol
0908010C0BCAAAL,ValuBurn L-Carnitine 1000mg tablets,Levocarnitine
0908010T0BCAAAC,Amversio oral powder,Betaine anhydrous
091000000BBYIBX,Feroglobin Fizz effervescent tablets,Other compound vitamin/mineral formulation preparations
0913101A0BIAAAH,SMA Althera Advance powder,Powder extensively hydrolysed formula (0913101)
0913107A0BBABAF,SMA Alfamino Advance powder,Powder amino acid formula (0913107)
0913141C0AAAAAA,Generic ProSource Plus liquid 30ml sachets gluten free,RtS 3.3 kcal/ml energy and higher protein liquid (0913141)
0913193A0BBAAAA,AddGluco Glucose powder,Powder carbohydrate supplement (0913193)
0913205D0BBAFAA,PKU express plus 15 powder 25g sachets raspberry,Powder 15g protein equivalent (0913205)
0913291A0AAACAC,Generic Seravit Paediatric powder,Powder micronutrient supplement (0913291)
0913352A0AAAAAA,Generic Aptamil Lactose Free powder,Powder disc or non ACBS lactose free formula (0913352)
0913451C0BCAAAB,PK Foods low protein jelly mix dessert (2 flavours),Food replacer discontinued or OTC desserts (0913451)
0914011U0BBAAAA,Fresubin Plant-Based tube feed liquid,Tube feed 1.5kcal/ml w fibre high prot plant based (0914011)
1203010F0BBAEAC,Strefen Eucalyptus and Manuka Honey 8.75mg lozenges,Flubiprofen
1306010C0AAAHAH,Benzoyl peroxide 5% lotion,Benzoyl peroxide
131500000AABZBZ,Ruxolitinib 15mg/g cream,Other miscellaneous topical preparations
1404000ALAAABAB,Shingles (Herpes Zoster) adjuvanted rcmb vacc inj 0.5ml solv,Shingles (H/Z)
20033000322,#AOne Foam dressing (non-adhesive) 7.5cm x 7.5cm square,Wound Management & Other Dressings
20033000339,Avance Solo Foam dressing 10cm x 12cm x 1.5cm,Wound Management & Other Dressings
20033000422,"Avance Solo Adapt dressing kit with foam, film and transfer port",Wound Management & Other Dressings
20033000423,Avance Solo canister,Wound Management & Other Dressings
20033000425,Avance Solo Border dressing 10cm x 30cm,Wound Management & Other Dressings
20033000428,Avance Solo Border dressing 15cm x 20cm,Wound Management & Other Dressings
20033000431,Avance Solo Border dressing 25cm x 25cm,Wound Management & Other Dressings
20033000573,Avance Solo dressing kit 10cm x 20cm,Wound Management & Other Dressings
20033000587,GBUK Non Woven Island dressing 8cm x 10cm,Wound Management & Other Dressings
20033000617,GBUK Hydrogel sheet 10cm x 10cm square,Wound Management & Other Dressings
20033000620,Gentell Blue Foam RTD dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000622,kliniderm super fiber dressing 5cm x 5cm square,Wound Management & Other Dressings
20033000624,kliniderm super fiber dressing 15cm x 15cm square,Wound Management & Other Dressings
20033000628,Askina Calgitrol Ag+ dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000633,MANUKAgel Burn Gel dressing,Wound Management & Other Dressings
20100000766,Ariapore tape 1.25cm,Surgical Adhesive Tape
21012600267,"Balance gellhorn pessary size 1, 45mm diameter, silicone, standard stem",Other Appliances
21012600320,"ProFem ring pessary size 2, 57mm diameter, silicone with support",Other Appliances
21012600322,"ProFem ring pessary size 4, 70mm diameter, silicone with support",Other Appliances
21012600325,"ProFem ring pessary size 7, 89mm diameter, silicone with support",Other Appliances
21012600340,Sharpak disposal unit 1 litre,Other Appliances
21012600341,Olive oil ear drops (Zuche Pharmaceuticals Ltd),Other Appliances
21012600342,Sodium bicarbonate 5% ear drops (Zuche Pharmaceuticals Ltd),Other Appliances
21020001620,CareTip hydrophilic catheter male 10Ch-18Ch,Catheters
21020001633,SpeediCath Standard catheter paediatric 6Ch-10Ch,Catheters
21020001634,SpeediCath Standard catheter boy 8Ch-12Ch,Catheters
21220000340,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream (Zuche Pharmaceuticals Ltd),Emollients
21220000341,Liquid Paraffin & White Soft Paraffin 50:50 ointment,Emollients
21220000343,Emulsifying ointment (Zuche Pharmaceuticals Ltd),Emollients
21220000344,AproDerm Plus cream,Emollients
21240000199,Sodium chloride 0.9% nasal drops (Zuche Pharmaceuticals Ltd),Nasal Products
21270003108,Varisan Fashion class 1 (18-21mmHg) thigh length open toe,Lymphoedema Garments
21270003167,Solidea Be You Capri (15-21mmHg) leggings,Lymphoedema Garments
21270003168,Solidea Be You Capri Curvy (15-21mmHg) leggings,Lymphoedema Garments
21270003169,Solidea Be You Tonic (15-21mmHg) leggings,Lymphoedema Garments
21270003170,Solidea Be You Tonic Curvy (15-21mmHg) leggings,Lymphoedema Garments
21270003171,Solidea Be You Tonic Curvy Pro (15-21mmHg) leggings,Lymphoedema Garments
21300001004,OnEye HA 0.1% eye drops preservative free,Eye Products
22506155033,"SpiritCare sterile leg bag with lever tap and leg straps 350ml bag, long tube",Leg Bags
23300000090,Suportx shield ostomy belt with Easy Peel fastening XX large 26cm right shield white,Belts
23301083247,Fulcionel ostomy/hernia support tube belt with hole cutting extra small 20cm white,Belts
23305951215,Stomex abdominal support belt size 4,Belts
23605906288,Esteem Body soft convex ileostomy bag large 7mm depth 30mm plateau 10mm-25mm clear,Ileostomy Bags
23605906390,NovaLife TRE convex high output ileostomy bag 15-59mm clear,Ileostomy Bags
23605906392,NovaLife TRE high output ileostomy bag 15-70mm/90mm clear,Ileostomy Bags
23605906396,NovaLife TRE soft convex high output ileostomy bag 15-34mm opaque,Ileostomy Bags
