BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0301030S0BKAAAR,Uniphyllin 400mg prolonged-release tablets,Theophylline
0301030S0BKABAM,Uniphyllin 200mg prolonged-release tablets,Theophylline
0301030S0BKACAP,Uniphyllin 300mg prolonged-release tablets,Theophylline
0906040G0ELACBW,A1-Cal D3 500mg/400unit chewable tablets,Colecalciferol
0906040G0ELADBY,A1-Cal D3 Max 600mg/400unit chewable tablets,Colecalciferol
0906040G0EZADBU,AaCa D3 1.25g/200unit chewable tablets,Colecalciferol
091104000BBDVA0,Biome Balance Youth capsules,Other digestive aid preparations
091104000BBNPA0,Biome Balance Everyday capsules,Other digestive aid preparations
0913011Y0BBAAAA,Altraplen Compact Protein Max liquid (4 flavours),"RtS 2.4 kcal/ml m/sk high volume, higher protein (0913011)"
0913271A0BCAAAC,Genius gluten free soft brown farmhouse loaf,Specialist food replacer bread (0913271)
0913271A0BCABAD,Genius gluten free mutli seeded farmhouse loaf,Specialist food replacer bread (0913271)
0913271A0BCACAE,Genius gluten free soft white farmhouse loaf,Specialist food replacer bread (0913271)
0913461I0BBADAA,Glutafin gluten free mini crackers,Specialist food replacer OTC/disc savoury biscuits (0913461)
0913461J0BBAAAA,Glutafin gluten free digestive biscuits,Specialist food replacer OTC/disc sweet biscuits (0913461)
0913461J0BBABAA,Glutafin gluten free shortbread biscuits,Specialist food replacer OTC/disc sweet biscuits (0913461)
0913531D0BBACAC,BioGaia Protectis chewable tablets strawberry,Tablet OTC probiotic (0913531)
1203050A0BJAAAS,BioXtra Dry Mouth Mild toothpaste,Artificial saliva products
21010900816,Vitrex Lite III safety lancets 2.4mm/21gauge,Other Appliances
21020001583,LoFric Origo catheter male flexible 12Ch-16Ch,Catheters
21020001613,LoFric Origo Sleeve catheter male flexible 12Ch-16Ch,Catheters
23350703877,"NovaLife TRE 1 closed convex colostomy bag with viewing option, midi 35mm beige",Colostomy Bags
23600706525,"NovaLife TRE 1 open convex ileostomy bag with viewing option, midi 40-46mm beige",Ileostomy Bags
23600706527,"NovaLife TRE 1 open convex ileostomy bag with viewing option, midi 35mm beige",Ileostomy Bags
23603356263,Option Alginate soft convex ileostomy bag with filter and soft touch closure 45mm plateau 35mm,Ileostomy Bags
23804808007,Esenta Orahesive powder,Skin Fillers And Protectives
23858588541,Eakin Freeseal Air 18mm,Skin Protectors
