vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
12022511000001104,Clobazam 250micrograms/5ml oral solution,775294007.0,Clobazam
44051211000001102,Danicopan 50mg tablets and Danicopan 100mg tablets,4.40332110000011e+16,Danicopan
40289711000001107,Desmopressin 5micrograms/5ml oral suspension,775491002.0,Desmopressin
44014311000001101,Donanemab 350mg/20ml solution for infusion vials,4.401481100000111e+16,Donanemab
44098511000001104,Emicizumab 12mg/0.4ml solution for injection vials,775751001.0,Emicizumab
44493511000001101,Faricimab 21mg/0.175ml solution for injection pre-filled syringes,4.07062110000011e+16,Faricimab
4557011000001104,Ibuprofen lysine 342mg tablets,4.156571100000111e+16,Ibuprofen lysine
39696711000001101,Indoramin 25mg tablets,776330005.0,Indoramin
43041011000001106,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops preservative free,776482006.0,Latanoprost + Timolol
43726511000001106,Nefopam 60mg tablets,776882000.0,Nefopam
42957611000001109,Rivaroxaban 15mg capsules,777455008.0,Rivaroxaban
4177111000001105,Somatropin (rbe) 5.3mg powder and solvent for solution for injection vials,777590003.0,Somatropin
44122611000001100,Vadadustat 300mg tablets,4.41127110000011e+16,Vadadustat
35661011000001103,Absorbent cellulose dressing with fluid repellent backing 71cm x 80cm,,
11470211000001106,Generic Lipidem emulsion for infusion 500ml bottles,,
43789311000001102,"Generic Pangrol 25,000 capsules",,
42630211000001105,Generic RespoSorb Silicone Border dressing 15cm x 15cm square,,
33182011000001100,Generic Soluprick SQ Weed Pollen Artemisia vulgaris (Mugwort) 10HEP solution for skin prick test,,
44056011000001100,Limb protectors adult half leg extra large,,
