BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0109040N0BDABAQ,Creon 25000 gastro-resistant capsules (Viatris),Pancreatin
0109040N0BDADAU,Creon 10000 gastro-resistant capsules (Viatris),Pancreatin
0503010AAAAAAAA,Emtricitabine 200mg / Tenofovir disoproxil 245mg tablets,Emtricitabine and tenofovir disoproxil
0913191A0BBAAAA,Fructose Module powder,Powder carbohydrate supplement (0913191)
0913205A0BCAAAA,PKU GMPro oral powder 33.3g sachets,Powder 10g GMP protein equivalent (0913205)
0913461A0BCAAAB,Glutafin gluten free cornflakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
0913461F0BEAEAD,Juvela gluten free pasta spaghetti,Specialist food replacer OTC or disc pasta (0913461)
21070630148,Magnide compression hosiery applicator medium - large,Elastic Hosiery
23355903726,"Moderma Flex convex colostomy bag with filter and CeraPlus skin barrier, maxi 15mm-51mm beige",Colostomy Bags
