BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0205052AEAAAEAE,Sacubitril 15mg / Valsartan 16mg gran in caps for opening,Sacubitril/valsartan
0205052AEBBAEAE,Entresto 15mg/16mg granules in capsules for opening,Sacubitril/valsartan
0407020B0BKAEAL,Reletrans 25microgram/hour transdermal patches,Buprenorphine
0407020A0AACECE,Fentanyl 533microgram sublingual tablets,Fentanyl
0407020M0AABVBV,Methadone 50mg tablets,Methadone hydrochloride
0407041T0BFAAAF,Gramegran 50mg tablets,Sumatriptan succinate
0408010C0AAAXAX,Carbamazepine 200mg/5ml oral liquid,Carbamazepine
0408010H0AABWBW,Lamotrigine 10mg/ml oral suspension sugar free,Lamotrigine
0503032L0BBAAA0,Vosevi 400mg/100mg/100mg tablets,Sofosbuvir/velpatasvir/voxilaprevir
0601022B0BTAAAT,Jesacrin 750mg modified-release tablets,Metformin hydrochloride
0604020K0AABUBU,Testosterone 20mg/g gel (23mg per actuation) refill,Testosterone
0705010A0BBAAAA,Veoza 45mg tablets,Fezolinetant
0901030U0AAAEAE,Roxadustat 150mg tablets,Roxadustat
0901060I0BEAAAP,Nivestim 12million units/0.2ml inj pre-filled syringes,Filgrastim
0906040G0EPAECR,"AceCal D3 20,000unit tablets",Colecalciferol
0906040G0EVAABA,"LipoSil Liposomal D3 2,000unit capsules",Colecalciferol
091200000BGADFY,Equazen triple strength capsules,Other health supplement preparations
0913021F0BDABAD,PaediaSure Plus fibre Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake with fibre (0913021)
0913021I0BBABAB,PaediaSure Compact Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913021)
0913141A0BBADAA,Renapro Shot 60ml bottles apple,RtS 1.4 kcal/ml energy and higher protein liquid (0913141)
0913191A0BBAAAA,Fructose Module powder,Powder carbohydrate supplement (0913191)
0913205A0BCAAAA,PKU GMPro oral powder 33.3g sachets,Powder 10g GMP protein equivalent (0913205)
0913271A0AAAHAH,Generic Glutafin gluten free Select fibre loaf sliced,Specialist food replacer bread (0913271)
0913271C0AAAIAI,Generic Glutafin gluten free Select multipurpose fibre mix,Specialist food replacer flour type mixes (0913271)
0913271A0AAALAL,Generic Glutafin gluten free Select seeded loaf sliced,Specialist food replacer bread (0913271)
0913461F0BEAEAD,Juvela gluten free pasta spaghetti,Specialist food replacer OTC or disc pasta (0913461)
0913461A0BCAAAB,Glutafin gluten free cornflakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
1311020L0CIAAAI,Hibiwash 4% solution,Chlorhexidine gluconate
1404000N0BGABAD,Verorab inj 0.5ml vials (Sanofi),Rabies
20020201201,Emcrepe bandage 5cm x 4.5m,Arm Sling/Bandages
20032100111,XLR8 Gauze dressing kit medium,Wound Management & Other Dressings
20033000326,#AOne Foam dressing (non-adhesive) 20cm x 20cm square,Wound Management & Other Dressings
20033000450,RespoSorb Silicone Border dressing 12cm x 23cm oval,Wound Management & Other Dressings
20033000291,Moderex Non-Adhesive dressing 20cm x 20cm square,Wound Management & Other Dressings
20033000448,RespoSorb Silicone Border dressing 18cm x 18cm sacrum,Wound Management & Other Dressings
20033000230,Moderex Hydro-cool sheet 7.5cm x 10cm rectangular,Wound Management & Other Dressings
20033000308,Moderex Hydro-cool Non-Adhesive sheet 20cm x 20cm square,Wound Management & Other Dressings
20033000440,Cutimed Sorbion Border dressing 20cm x 20cm square,Wound Management & Other Dressings
20033000350,Empore dressing 10cm x 35cm,Wound Management & Other Dressings
20033000362,Emfilm Plus dressing 10cm x 10cm,Wound Management & Other Dressings
20033000449,RespoSorb Silicone Border dressing 23cm x 23cm sacrum,Wound Management & Other Dressings
20033000437,Askina Carbosorb dressing 20cm x 20cm,Wound Management & Other Dressings
20033000408,Emfilm IV dressing 4.4cm x 4.4cm,Wound Management & Other Dressings
20033000447,RespoSorb Silicone Border dressing 16cm x 26cm rectangular,Wound Management & Other Dressings
20033000442,HidraWear Foam dressing 10cm x 15cm,Wound Management & Other Dressings
20050600227,BLUselect tracheostomy tube inner cannula 64.5mm length (fenestrated),Tracheostomy & Laryngectomy Appliances
21270002938,Juzo Move class 3 (34-46mmHg) thigh length closed toe with silicone adhesive border,Lymphoedema Garments
21270002968,Juzo Liner Dual Stretch (20-30mmHg) below knee closed toe,Lymphoedema Garments
21270002965,Mediven cotton class 1 (18-21mmHg) below knee closed toe petite,Lymphoedema Garments
21270002933,Juzo Move class 3 (34-46mmHg) below knee open toe with silicone adhesive border,Lymphoedema Garments
21290000159,Procare off-loading diabetic shoe small,Pressure Offloading Device
21300000982,Ocufresh Intense Relief 0.4% eye drops 0.5ml unit dose preservative free,Eye Products
21480000110,Dexcom One+ Sensor,Detection Sensor Interstitial Fluid/Gluc
22306153060,Discreet sheath short 29mm,Incontinence Sheaths
22306153065,Discreet sheath tacky 29mm,Incontinence Sheaths
23353353705,"Option Alginate low profile soft convex colostomy bag with filter, plus 28mm plateau 20-28mm",Colostomy Bags
23355903718,"Welland Aura Plus soft convex colostomy bag with filter, maxi 13mm-25mm clear",Colostomy Bags
23605906250,NovaLife TRE soft convex ileostomy bag midi 15mm-34mm clear,Ileostomy Bags
23706607002,SenSura Mio irrigation sleeve,Irrigation Washout Appliances
23945909425,"Combimate two piece ostomy system colostomy bag with filter, large 38mm",Two Piece Ostomy Systems
23945909647,NovaLife two piece ostomy system urostomy bag with viewing option 55mm,Two Piece Ostomy Systems
23965909808,NovaLife TRE soft convex urostomy bag 25mm clear,Urostomy Bags
23965909799,NovaLife TRE convex urostomy bag 25mm clear,Urostomy Bags
23965909693,Option hydrocolloid low profile soft convex urostomy bag with tap closure 47mm plateau 45mm opaque,Urostomy Bags
23965909686,Option hydrocolloid low profile soft convex urostomy bag with tap closure 28mm plateau 25mm opaque,Urostomy Bags
23965909795,NovaLife TRE convex urostomy bag 15mm-24mm clear,Urostomy Bags
