BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0309020H0BHABAH,Tixylix Children's syrup,Glycerol
0913011I0BDAAAA,Fresubin Original drink (3 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011)
0913011S0BBAAAA,Aymes Actagain 2.4 Complete Maxi liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
0913011S0BBABAF,Aymes Actagain 2.4 Complete Maxi Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
0913011X0BBAAAA,Aymes Actagain 600 Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011)
0913011X0BBABAB,Aymes Actagain 600 liquid (3 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011)
0913391C0BBAAAA,Aymes Actagain Protein Shot (2 flavours),RtS disc or non ACBS energy and protein fortifier (0913391)
0913461E0BGAAAK,Warburtons gluten free seeded loaf,Specialist food replacer OTC or disc bread (0913461)
0913461F0BBACAA,Barkat gluten free pasta buckwheat penne,Specialist food replacer OTC or disc pasta (0913461)
0913671A0BBABAA,SLO Milkshake+ IDDSI 4 Extremely Thick pdr 50g sach choc,Powder 2.7 kcal/ml milkshake pre-thickened (0913671)
0914021F0BEAAAD,PaediaSure Plus fibre tube feed liquid,Tube feed 1.5 kcal/ml with fibre (0914021)
100302000BBBXA0,Pernaton Warming gel,Other rubefacient and topical antirheumatic preparations
130501000BBBLA0,Cetaphil PRO Itch Prone Skin body wash,Other eczema preparations
1902070E0BEAAAG,Carbomix 81.3% granules for oral suspension,Charcoal
20031700282,RespoSorb Silicone dressing 8cm x 8cm square,Wound Management & Other Dressings
20031700283,RespoSorb Silicone dressing 12.5cm x 12.5cm square,Wound Management & Other Dressings
20031700284,RespoSorb Silicone dressing 20cm x 20cm square,Wound Management & Other Dressings
20031700285,RespoSorb Silicone dressing 10cm x 20cm rectangular,Wound Management & Other Dressings
20031700286,RespoSorb Silicone dressing 20cm x 25cm rectangular,Wound Management & Other Dressings
21280000120,Aquaflush Mini - Compact System starter set,Anal Irrigation System
21280000121,Aquaflush Mini - Compact System monthly set,Anal Irrigation System
21280000126,Aquaflush Maxi - Actif irrigation system starter set,Anal Irrigation System
21280000127,Aquaflush Maxi - Actif irrigation system monthly set,Anal Irrigation System
21280000145,Aquaflush Maxi - Lite System starter set,Anal Irrigation System
21280000146,Aquaflush Maxi - Lite System monthly set,Anal Irrigation System
21280000147,Aquaflush Maxi - Lite System standard cones,Anal Irrigation System
21280000152,Aquaflush Midi - Compact+ System starter set,Anal Irrigation System
21280000153,Aquaflush Midi - Compact+ System monthly set,Anal Irrigation System
21280000154,Aquaflush short (paediatric) cones,Anal Irrigation System
21280000161,Aquaflush Maxi self retaining cone starter set,Anal Irrigation System
21280000162,Aquaflush Maxi self retaining cone monthly set,Anal Irrigation System
21280000163,Aquaflush Maxi self retaining cones,Anal Irrigation System
