BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0102000L0AAAMAM,Glycopyrronium bromide 350micrograms/5ml oral liquid,Glycopyrronium bromide
0105030A0AAACAC,Vedolizumab 108mg/.068ml inj pre-filled disposable devices,Vedolizumab
0109040N0BDAHAU,Creon 10000 gastro-resistant capsules (Imported),Pancreatin
0109040N0BDAIAQ,Creon 25000 gastro-resistant capsules (Imported),Pancreatin
0205051I0AACDCD,Enalapril 5mg/5ml oral solution sugar free,Enalapril maleate
0205051I0BFAACC,Aqumeldi 0.25mg orodispersible tablets,Enalapril maleate
0205052AEBBADAD,Entresto 6mg/6mg granules in capsules for opening,Sacubitril/valsartan
0206030Z0BCACAC,Anzipro 750mg modified-release tablets,Ranolazine
0208020Y0AAAGAG,Rivaroxaban 15mg capsules,Rivaroxaban
0208020Y0AAAHAH,Rivaroxaban 20mg capsules,Rivaroxaban
0406000S0AAAQAQ,Ondansetron 4mg/2ml inj pre-filled syringes,Ondansetron hydrochloride
0406000S0AAARAR,Ondansetron 8mg/4ml inj pre-filled syringes,Ondansetron hydrochloride
0408010C0BBAKAP,Tegretol 100mg/5ml liquid (Imported),Carbamazepine
0505060I0AAADAD,Ivermectin 15mg tablets,Ivermectin
0601022B0BBAHBB,Glucophage SR 850mg tablets,Metformin hydrochloride
0601022B0AABBBB,Metformin 850mg modified-release tablets,Metformin hydrochloride
0603020G0AACNCN,Dexamethasone 1mg tablets,Dexamethasone
0606020Z0AAACAC,Denosumab 120mg/1ml inj pre-filled syringes,Denosumab
0606020AAAAAAAA,Romosozumab 105mg/1.17ml inj pre-filled disposable devices,Romosozumab
0913011W0BDAAAE,Altraplen Compact Protein Max liquid (4 flavours),"RtS 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011S0BBAEAI,Aymes Actagain 2.0 liquid (6 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
0913021E0BFAAAE,Aymes ActaJuni liquid (3 flavours),Ready to serve 1.5 kcal/ml milkshake (0913021)
0913461E0BGAAAK,Warburtons gluten free seeded loaf,Specialist food replacer OTC or disc bread (0913461)
0913461F0BBACAA,Barkat gluten free pasta buckwheat penne,Specialist food replacer OTC or disc pasta (0913461)
0913541C0BEAAAA,AddGluco chewable tablets orange,Tablets OTC glucose for diabetic hypo treatment (0913541)
0913671A0BBABAA,SLO Milkshake+ IDDSI 4 Extremely Thick pdr 50g sach choc,Powder 2.7 kcal/ml milkshake pre-thickened (0913671)
1106000ADBEAAAA,Vizilatan Duo eye drops,Latanoprost and timolol
1106000ADAAACAC,Latanoprost 50microg / Timolol 5mg/ml eye dps preserv free,Latanoprost and timolol
1108010K0AAALAL,Sodium chloride 2% eye drops,Sodium chloride
1203030M0BRABAR,Chloralieve Honey and Lemon lozenges,Lidocaine hydrochloride
20020201217,Empress3A layer 3 bandage 10cm x 10.25m,Arm Sling/Bandages
20030000029,Exufiber Ag+ dressing 4.5cm x 30cm rectangular,Wound Management & Other Dressings
20033000342,Moderex Border Plus dressing 10cm x 20cm,Wound Management & Other Dressings
20033000263,Sorbex with silicone layer dressing 10cm x 10cm,Wound Management & Other Dressings
20050600193,BLUselect tracheostomy tube Soft-Seal cuff Suctionaid 64.5mm length,Tracheostomy & Laryngectomy Appliances
20050600194,BLUselect tracheostomy tube Soft-Seal cuff Suctionaid 70mm length,Tracheostomy & Laryngectomy Appliances
21012600206,GlucoRx Dual-Safe Pen hypodermic insulin needles for pf/reusable pen injectors screw on 4mm/31gauge,Other Appliances
21020001589,Cure Ultra catheter male Tiemann tip 10Ch-18Ch,Catheters
21020001591,LoFric Origo Sleeve catheter male 12Ch-16Ch,Catheters
21070630182,Magnide compression hosiery applicator extra large,Elastic Hosiery
21070630180,Easy-Slide Arm compression hosiery applicator medium - large,Elastic Hosiery
21220000328,Purosure ointment,Emollients
21280000185,Peristeen Light anal irrigation system,Anal Irrigation System
21290000162,Procare off-loading diabetic shoe extra large,Pressure Offloading Device
21300000984,AccuSoft eyelid wipes,Eye Products
22306153055,Discreet sheath regular 29mm,Incontinence Sheaths
23301083229,Fulcionel ostomy/hernia support tube belt extra small 20cm white,Belts
23305951192,Fulcionel AR ostomy belt XX large 16cm,Belts
23355903692,"Emperor colostomy bag with filter, standard 20mm beige",Colostomy Bags
23355903730,"Moderma Flex convex colostomy bag with filter and CeraPlus skin barrier, maxi 40mm beige",Colostomy Bags
23603356323,Option Primo ileostomy bag with filter and soft covering to one side 35mm,Ileostomy Bags
23605906252,NovaLife TRE soft convex ileostomy bag midi 30mm clear,Ileostomy Bags
23605906258,NovaLife TRE soft convex ileostomy bag maxi 30mm clear,Ileostomy Bags
23605906281,Esteem Body soft convex ileostomy bag standard with window 7mm depth 40mm plateau 10mm-35mm,Ileostomy Bags
23858588554,Adapt CeraRing barrier ring 57mm x 2.3mm,Skin Protectors
23858588555,Dansac TRE Seals centred hole 27mm,Skin Protectors
23990000009,Heylo Sensor Layers 70mm,Leakage Notification System
23990000006,Heylo Sensor Layers 40mm,Leakage Notification System
23990000008,Heylo Sensor Layers 60mm,Leakage Notification System
23990000007,Heylo Sensor Layers 50mm,Leakage Notification System
