vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
44050911000001104,Aripiprazole 2.5mg tablets,774636008.0,Aripiprazole
31411111000001104,Betamethasone valerate 0.1% cream 50% in Generic Unguentum M cream,774839004.0,Betamethasone
34818311000001106,Betamethasone valerate 0.1% ointment 25% in Generic Unguentum M cream,774839004.0,Betamethasone
44121611000001106,Bimekizumab 320mg/2ml solution for injection pre-filled disposable devices,1340106001.0,Bimekizumab
41496011000001105,Generic BetterYou Boost Vitamin B12 Daily oral spray sugar free,775408004.0,Cyanocobalamin
42826611000001102,Dexamethasone 1mg tablets,775499000.0,Dexamethasone
9060911000001109,Gadobutrol 1mmol/ml solution for injection 30ml vials,776062000.0,Gadobutrol
35205111000001104,Memantine 5mg orodispersible tablets sugar free,776669005.0,Memantine
8818111000001108,Primidone 25mg/5ml oral suspension,777315005.0,Primidone
30742011000001102,Generic Abilar resin salve,,
43008111000001108,Generic Aymes Actagain 2.0 liquid,,
43128711000001109,Generic Nizoral Scalp Soothing Dry & Eczema Prone shampoo,,
44013011000001101,Generic Paravit-Mod capsules,,
44013111000001100,Generic Paravit-Mod liquid,,
43008211000001102,Generic Prevase Stain chlorhexidine gluconate 0.5% cutaneous solution,,
3428611000001103,Vaginal contraceptive rubber diaphragm flat spring 65mm,,
