vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
45511811000001104,Adrenaline (base) 2mg/100microlitres nasal spray unit dose,775784001.0,Adrenaline
44456411000001100,Amoxicillin 500mg tablets,774586009.0,Amoxicillin
3432911000001109,Budesonide 200microgram inhalation powder capsules,774924004.0,Budesonide
45251211000001104,Burosumab 10mg/0.33ml solution for injection pre-filled syringes,774941002.0,Burosumab
45251311000001107,Burosumab 20mg/0.67ml solution for injection pre-filled syringes,774941002.0,Burosumab
45354411000001108,Generic Comirnaty LP.8.1 Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.3ml dose dispersion for injection single dose vials,3.93307110000011e+16,COVID-19 vaccine
45405911000001104,Generic Comirnaty LP.8.1 adults and adolescents from 12 years COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection pre-filled syringes,3.93307110000011e+16,COVID-19 vaccine
41151811000001102,"Eptacog beta (activated) 2mg (90,000unit) powder and solvent for solution for injection vials",4.11515110000011e+16,Eptacog beta (activated)
45610411000001101,Esmolol 100mg/10ml solution for injection ampoules,775833007.0,Esmolol
44027211000001106,Calcium folinate 1g/100ml solution for infusion vials,776024003.0,Folinic acid
4367511000001100,Guaifenesin 100mg/5ml / Pseudoephedrine 30mg/5ml oral solution,773466000.0,Guaifenesin + Pseudoephedrine
12537711000001106,Hydralazine 5mg/5ml oral solution,776219009.0,Hydralazine
44881911000001100,Isavuconazole 40mg capsules,3.10100110000011e+16,Isavuconazole
45489311000001104,Isoprenaline hydrochloride 200micrograms/1ml solution for infusion ampoules,776419006.0,Isoprenaline
45294411000001109,Mirikizumab 100mg/1ml solution for injection pre-filled disposable devices and Mirikizumab 200mg/2ml solution for injection pre-filled disposable devices,4.20276110000011e+16,Mirikizumab
8669511000001104,Naltrexone 12.5mg/5ml oral suspension,776866001.0,Naltrexone
42445111000001105,Omeprazole 10mg/15ml oral solution unit dose sugar free,776991000.0,Omeprazole
8716211000001101,Pyridostigmine bromide 15mg/5ml oral solution,777367009.0,Pyridostigmine
44099411000001106,Ramipril 10mg/5ml oral solution sugar free,777395009.0,Ramipril
45406011000001107,Risdiplam 5mg tablets,896966009.0,Risdiplam
45481811000001107,Semaglutide 4mg tablets,777514008.0,Semaglutide
42329811000001107,Sodium hyaluronate 0.1% eye drops 0.4ml unit dose preservative free,4.25961110000011e+16,Sodium hyaluronate
10606611000001108,Ferrous sulfate heptahydrate powder,,
45586711000001103,Generic Gelaspan 4% infusion 500ml Ecobags,,
45586811000001106,Generic Gelofusine 4% infusion 1litre Ecobags,,
45586911000001101,Generic Gelofusine 4% infusion 500ml Ecobags,,
45593511000001104,Generic Metanium Everyday Barrier ointment,,
45610611000001103,Generic SMA Gold Prem Breast Milk fortifier 1g powder sachets,,
45436311000001104,Generic Wellbaby Multivitamin liquid,,
45436411000001106,Generic Wellkid 4-12 years Multivitamin liquid,,
39429611000001106,Lymphoedema garments pants/leggings/shorts,,
