BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0913011B0BCAEAD,Foodlink Smoothie powder 66g sachets tropical,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BCAAAC,Foodlink Smoothie Starter Pack sachets,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BCACAD,Foodlink Smoothie powder 66g sachets peach,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BCABAD,Foodlink Smoothie powder 66g sachets orange & mango,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BBADAA,Aymes ActaSolve Smoothie pdr 66g sach strawberry & cranberry,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BBABAA,Aymes ActaSolve Smoothie powder 66g sachets peach,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BBACAA,Aymes ActaSolve Smoothie powder 66g sachets pineapple,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BBAAAA,Aymes ActaSolve Smoothie powder 66g sachets mango,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BCADAD,Foodlink Smoothie powder 66g sachets red berry,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011B0BBAEAB,Aymes ActaSolve Smoothie Starter Pack powder,Powder 1.5 kcal/ml smoothie plant based (0913011)
0913011R0BBAAAA,Fresubin Dessert Fruit Puree,RtS 1.6 kcal/g dessert style (fruit based) (0913011)
0913141A0BBACAA,Renapro Shot 60ml bottles wild berry,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913141A0BBABAA,Renapro Shot 60ml bottles peach,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913141A0BBADAA,Renapro Shot 60ml bottles apple,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913141A0BBAAAA,Renapro Shot 60ml bottles cola,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0914011F0BCAAAC,Jevity Plus liquid,"Tube feed 1.2 kcal/ml with fibre, higher protein (0914011)"
0914011M0BBAAAA,Fresubin 2kcal HP tube liquid feed,Tube feed 2 kcal/ml higher protein (0914011)
0914011G0BCAAAB,Nutrison Protein Plus Multifibre liquid,"Tube feed 1.3kcal/ml with fibre, higher protein (0914011)"
0914011F0BBAAAB,Fresubin 1800 Complete liquid,"Tube feed 1.2 kcal/ml with fibre, higher protein (0914011)"
0914011F0BDAAAA,Nutrison 1200 Complete Multi Fibre liquid,"Tube feed 1.2 kcal/ml with fibre, higher protein (0914011)"
0914011G0BBAAAA,Jevity Plus HP gluten free liquid,"Tube feed 1.3kcal/ml with fibre, higher protein (0914011)"
0914011F0BBABAD,Fresubin 1200 Complete liquid,"Tube feed 1.2 kcal/ml with fibre, higher protein (0914011)"
0914011A0BBAAAA,Nutrison 800 Complete Multi Fibre liquid,"Tube feed 0.8 kcal/ml with fibre, higher protein (0914011)"
1309000Y0AAAAAA,Ritlecitinib 50mg capsules,Ritlecitinib
