BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0101010I0BMABAL,AdMag 160mg tablets,Magnesium oxide
0202030S0BLAAEB,Qaialdo 10mg/ml oral suspension,Spironolactone
0205010ACAAAAAA,Vericiguat 10mg tablets,Vericiguat
0212000AAAAANAN,Rosuvastatin 10mg orodispersible tablets sugar free,Rosuvastatin calcium
0212000AAAAAMAM,Rosuvastatin 5mg orodispersible tablets sugar free,Rosuvastatin calcium
0302000C0BXABBZ,Vivaire 200micrograms/dose / 6micrograms/dose inhaler,Beclometasone dipropionate
0304010E0BCABAB,Allevia Hives 180mg tablets,Fexofenadine hydrochloride
0402020L0BBAHAC,Modecate 25mg/1ml inj ampoules (Imported (Denmark)),Fluphenazine decanoate
0403030X0AAAGAG,Escitalopram 5mg orodispersible tablets sugar free,Escitalopram
0404000E0BDAAAL,Fenapin 20mg/1ml solution for infusion ampoules,Caffeine citrate
0404000M0BPACAV,Focusim XL 30mg capsules,Methylphenidate hydrochloride
0406000F0AAAXAX,Cyclizine 250mg/5ml oral liquid,Cyclizine hydrochloride
0407020AGBGAAAJ,Tapimio 50mg modified-release capsules,Tapentadol
0407041AEAAAAAA,Sumatriptan 85mg / Naproxen 457mg tablets,Sumatriptan succinate/Naproxen sodium
0408010AEBGAABB,Misabri PR 165mg pro-longed release tablets,Pregabalin
0604012S0AACECE,Progesterone micronised 400mg vaginal capsules,Progesterone
0607020Y0BBAAAB,Yselty 100mg tablets,Linzagolix
0704050Z0AAASAS,Sildenafil 50mg orodispersible films sugar free,Sildenafil (Erectile Dysfunction)
0901020G0CKAABF,Pure Health Folic acid 400microgram tablets,Folic acid
090602800AADDDD,Pyridoxal phosphate 25mg tablets,Other vitamin B preparations
0906040G0EJANCY,"Aactive D3 50,000unit tablets",Colecalciferol
0906040G0ETABCI,BetterYou D400 Junior Vitamin D 400units Daily oral spray,Colecalciferol
0906040G0BMACCN,"Valupak Vitamin D3 5,000unit tablets",Colecalciferol
0906040G0EZACFP,AaCa D3 1.5g/400unit effervescent tablets sugar free,Colecalciferol
0906040G0AAFNFN,Colecalciferol 200unit / Calcium carbonate 1.25g chew tab SF,Colecalciferol
0913181L0AAAAAA,Generic KetoCal 4:1 powder,Powder 4:1 formula (0913181)
0913461F0BDACAC,Glutafin gluten free pasta macaroni penne,Specialist food replacer OTC or disc pasta (0913461)
0913461I0BBAAAA,Glutafin gluten free crackers,Specialist food replacer OTC/disc savoury biscuits (0913461)
0913531C0BBABAF,Vivomixx neo oral powder 4.4g sachets,Powder delisted probiotic (0913531)
0914011R0BBAAAA,Nutrison PlantBased 2kcal HP Multi Fibre liquid,Tube feed 2kcal/ml w fibre higher prot plant based (0914011)
0914011C0BEAAAG,Compleat tube feed liquid,Tube feed 1 kcal/ml with fibre (0914011)
1106000L0BFAAAD,Catiolanze 50micrograms/ml eye dps emulsn 0.3ml unit dose,Latanoprost
1202010W0BDAAAA,Flutikaz 27.5micrograms/dose nasal spray,Fluticasone furoate
1306010ADBBAAAA,Winlevi 10mg/g cream,Clascoterone
1306010ADAAAAAA,Clascoterone 10mg/g cream,Clascoterone
1309000H0BBABAJ,Regaine for Men Extra Strength 5% scalp solution,Minoxidil
1310050D0BSAAAA,Cetrimide Antiseptic 0.5% cream,Cetrimide
20033000486,Clarity Care Silicone Wound Contact Layer One Sided Adhesive dressing 7.5cm x 10cm,Wound Management & Other Dressings
20033000479,Clarity Care Silicone Foam Non-Border dressing 5cm x 5cm,Wound Management & Other Dressings
20033000540,ConvaFoam Border dressing 12.5cm x 12.5cm square,Wound Management & Other Dressings
20033000525,ConvaFoam Silicone dressing 8cm x 8cm,Wound Management & Other Dressings
20033000529,ConvaFoam Silicone dressing 17.5cm x 17.5cm,Wound Management & Other Dressings
20033000497,Clarity Care Silicone Foam Non-Border dressing 13cm x 20cm heel,Wound Management & Other Dressings
20033000455,Clarity Care Silicone Foam Border dressing 10cm x 20cm,Wound Management & Other Dressings
20033000538,ConvaFoam Border dressing 8cm x 8cm square,Wound Management & Other Dressings
20033000527,ConvaFoam Silicone dressing 12.5cm x 12.5cm,Wound Management & Other Dressings
20033000534,MedCu dressing 20cm x 20cm,Wound Management & Other Dressings
20033000541,ConvaFoam Border dressing 15cm x 15cm square,Wound Management & Other Dressings
20033000489,Clarity Care Silicone Wound Contact Layer One Sided Adhesive dressing 12cm x 15cm,Wound Management & Other Dressings
20033000492,Clarity Care Silicone Wound Contact Layer Two Sided Adhesive dressing 5cm x 7cm,Wound Management & Other Dressings
20033000539,ConvaFoam Border dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000491,Clarity Care Silicone Wound Contact Layer One Sided Adhesive dressing 20cm x 30cm,Wound Management & Other Dressings
20033000473,Clarity Care Silicone Postoperative dressing 10cm x 15cm,Wound Management & Other Dressings
20033000523,ConvaFoam Non-Adhesive dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000530,ConvaFoam Silicone dressing 21cm x 21cm,Wound Management & Other Dressings
20050600239,BLUselect tracheostomy tube inner cannula 81mm length,Tracheostomy & Laryngectomy Appliances
21012600232,Sealcuff Waterproof Cast & Bandage limb protector adult wide short leg,Other Appliances
21012600231,Sealcuff Waterproof Cast & Bandage limb protector adult short leg,Other Appliances
21012600211,Apollo Tri-Plus safety lancets 1.3mm/1.8mm/2.3mm/28gauge,Other Appliances
21012600122,buddy limb protector hand and foot free 90cm top and 70cm lower apertures,Other Appliances
21012600235,Sealcuff Waterproof Cast & Bandage limb protector adult IV & PICC lines large,Other Appliances
21012600230,Sealcuff Waterproof Cast & Bandage limb protector adult foot,Other Appliances
21012600233,Sealcuff Waterproof Cast & Bandage limb protector adult long leg,Other Appliances
21012600240,Sealcuff Waterproof Cast & Bandage limb protector kids medium leg,Other Appliances
21020001615,SensaCath Flex catheter male 10Ch-18Ch,Catheters
21020001598,2 way foley all silicone catheter paediatric 10Ch 5ml balloon (43151005),Catheters
21020001601,2 way foy all slc cath+glyc filled syrg for balloon inflation & empty syrg for deflation paed 10Ch,Catheters
21220000333,AactiMed Cetomacrogol cream (Formula A),Emollients
21270003065,Juzo Fascination class 2 (15-20mmHg) thigh length closed toe with silicone adhesive border,Lymphoedema Garments
21270003083,Juzo Soft non-standard colour for lymphoedema garment,Lymphoedema Garments
21270002999,Juzo Confort Coton class 3 (20-36mmHg) below knee closed toe,Lymphoedema Garments
21270003035,Juzo Move custom fit class 2 (23-32mmHg) below knee open toe with silicone adhesive border,Lymphoedema Garments
21270003049,Juzo Fascination class 2 (15-20mmHg) below knee closed toe,Lymphoedema Garments
21270002998,Juzo Confort Coton class 2 (15-20mmHg) below knee closed toe,Lymphoedema Garments
21270003077,Juzo Expert non-standard colour for lymphoedema garment upper extremities,Lymphoedema Garments
21270002764,Sigvaris MTM Optiform Hold class 1 (18-21mmHg) ankle sock closed toe,Lymphoedema Garments
21270003087,Juzo Adjustable Compression System Light liner thigh length,Lymphoedema Garments
21270003024,Juzo Move custom fit class 1 (18-21mmHg) below knee open toe,Lymphoedema Garments
22806208020,Ugo Fix bag belt,Tubing And Accessories
23300263750,Suportx male high waist girdle with hole XX large skin,Belts
23305951106,Vanilla Blush junior boy support pants 7-8 years,Belts
23355903735,Esteem Body soft convex colostomy bag large 7mm depth 40mm plateau 10mm-35mm clear,Colostomy Bags
23605906368,Option soft convex ileostomy bag with filter and soft touch closure 45mm plateau 15-44mm black,Ileostomy Bags
23605906356,Option hydrocolloid low profile soft convex ileo bag + filter & window 28mm plateau 25mm opaque,Ileostomy Bags
23605906279,Esteem Body soft convex ileostomy bag standard with window 3.5mm depth 50mm plateau 45mm stoma,Ileostomy Bags
23605906354,Option hydrocolloid low profile soft convex ileo bag + filter & window 28mm plateau 15-28mm opaque,Ileostomy Bags
23806558012,Activon Manuka Honey barrier cream,Skin Fillers And Protectives
