BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106020V0BDACAB,Senease Twelve Years Plus 7.5mg/5ml syrup,Sennosides
0109010W0AAAAAA,Elafibranor 80mg tablets,Elafibranor
0302000AAAAACAC,Generic Trimbow NEXThaler 88microg/5microg/9microg/dose inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000ABAAAAAA,Beclometasone 100microg/Formoterol 6microg/dose dry pdr inh,BeclometDiprop/Formoterol
0302000ABAAABAB,Beclometasone 100microg/Formoterol 6microg/dose inh CFC free,BeclometDiprop/Formoterol
0302000ABAAACAC,Beclometasone 200microg/Formoterol 6microg/dose dry pdr inh,BeclometDiprop/Formoterol
0302000ABAAADAD,Beclometasone 200microg/Formoterol 6microg/dose inh CFC free,BeclometDiprop/Formoterol
0302000ABBBAAAA,Fostair NEXThaler 100microg/dose / 6microg/dose dry pdr inh,BeclometDiprop/Formoterol
0302000ABBBABAC,Fostair NEXThaler 200microg/dose / 6microg/dose dry pdr inh,BeclometDiprop/Formoterol
0302000ABBCAAAB,Fostair 100micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBCABAD,Fostair 200micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBDAAAB,Bibecfo 100micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBDABAD,Bibecfo 200micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBEAAAB,Proxor 100micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBEABAD,Proxor 200micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBFAAAB,Luforbec 100micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBFABAD,Luforbec 200micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBGAAAB,Vivaire 100micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
0302000ABBGABAD,Vivaire 200micrograms/dose / 6micrograms/dose inhaler,BeclometDiprop/Formoterol
