BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0309020H0BHAEAH,Tixylix Infant syrup,Glycerol
0407020ADBFAAAK,Oxylan 5mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFABAF,Oxylan 10mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFACAG,Oxylan 20mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFADAH,Oxylan 40mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFAEAI,Oxylan 80mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0501011J0AAABAB,Benzylpenicillin sodium 600mg inj vials,Benzylpenicillin sodium (Penicillin G)
0501011J0AAAFAF,Benzylpenicillin sodium 1.2g inj vials,Benzylpenicillin sodium (Penicillin G)
0503010H0AAAAAA,Tenofovir disoproxil 245mg tablets,Tenofovir disoproxil
0503010H0AAACAC,Tenofovir disoproxil 123mg tablets,Tenofovir disoproxil
0604020K0AABRBR,Testosterone 20mg/g gel (23mg per actuation) with applicator,Testosterone
0704030J0BKAAAI,Cystitis Relief 4g gran for soln sachets (Alliance),Sodium citrate
0803042N0AAAFAF,Leuprorelin 11.25mg implant pre-filled syringes,Leuprorelin acetate
0803042N0BDAAAF,Staladex 11.25mg implant pre-filled syringes,Leuprorelin acetate
0902012H0BXAAA0,SOS Rehydrate oral powder sachets mixed berry,Oral rehydration salts
0902012H0BXABA0,SOS Rehydrate oral powder sachets lemon,Oral rehydration salts
0902012H0BYAAA0,Galpharm Lost Fluid Replacement gran for soln sachets,Oral rehydration salts
091200000BFLZFN,BioActive Omega-7 sea buckthorn oil capsules,Other health supplement preparations
0913201D0BBAAAA,HCU Maxamum powder,Powder 39g protein equivalent per 100g (0913201)
0913311A0BCADAC,Meritene Energis powder (3 flavours),Powder OTC ONS (0913311)
0913445A0BFAAAF,L-Ornithine powder,Pdr disc/non ACBS single L-amino acid supplement (0913445)
0913451G0BBABAB,Loprofin low protein part baked bread rolls,Food replacer discontinued or OTC rolls/baguettes (0913451)
0913511A0BBACAE,SMA Little Steps Follow-On milk powder,Powder OTC follow on formula (0913511)
130300000BPBHA0,Savlon Antiseptic & Pain Relief gel,Other topical anaesthetic and antipruritic preparations
20033000013,RespoSorb Silicone Border dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000014,RespoSorb Silicone Border dressing 12.5cm x 12.5cm square,Wound Management & Other Dressings
20033000016,RespoSorb Silicone Border dressing 17.5cm x 17.5cm square,Wound Management & Other Dressings
21010230176,EasyChamber Spacer with infant mask 0-24 months,Other Appliances
21010230177,EasyChamber Spacer with child mask 2-6 years,Other Appliances
21010230178,EasyChamber Spacer with adult mask 6 years - adult,Other Appliances
21020001586,Luja catheter male 10Ch-18Ch,Catheters
21020001587,Luja pocket size catheter male 8Ch-14Ch,Catheters
21040000262,Eurogine T 380 Ag intrauterine contraceptive device mini/normal,Contraceptive Devices
21040000263,Eurogine T 380 Cu intrauterine contraceptive device mini/normal,Contraceptive Devices
