BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0103050P0AABXBX,Omeprazole 10mg/15ml oral solution unit dose sugar free,Omeprazole
0104040A0BBAAAA,Xermelo 250mg tablets,Telotristat ethyl
0208020X0AAAIAI,Dabigatran etexilate 150mg granules sachets sugar free,Dabigatran etexilate
0304010W0AAAVAV,Promethazine 5mg/5ml oral suspension,Promethazine hydrochloride
0304020ACBBAAAA,Itulazax 12 SQ-Bet oral lyophilisates,White Birch pollen allergen extract
0401010B0AABYBY,Chloral hydrate 200mg/5ml oral solution sugar free,Chloral hydrate
0402010K0BEAAAW,Levorol 6.25mg tablets,Levomepromazine maleate
0402010ABAABIBI,Quetiapine 400mg tablets,Quetiapine
0402010ABAABHBH,Quetiapine 50mg tablets,Quetiapine
0404000U0BDADAA,Elvanse Adult 20mg capsules,Lisdexamfetamine dimesylate
0404000U0BDAEAC,Elvanse Adult 40mg capsules,Lisdexamfetamine dimesylate
0407020AGBDABAD,Tadomon 100mg prolonged-release tablets,Tapentadol hydrochloride
0407020Q0AADKDK,Morphine sulfate 50mg/5ml oral solution,Morphine sulfate
0407020A0AACGCG,Fentanyl 800microgram sublingual tablets,Fentanyl
0407020K0AAFQFQ,Diamorphine 500mg oral powder sachets,Diamorphine hydrochloride (Systemic)
0408010U0BCABBD,Enodama 125mg tablets,Primidone
0409030B0BGABAE,Bocouture 100unit powder for solution for injection vials,Botulinum toxin type A
0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide
0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide
0601060W0BLAAA0,MySugarWatch beta-ketone testing strips,Ketone blood testing reagents
0705010A0AAAAAA,Fezolinetant 45mg tablets,Fezolinetant
0802010G0BIAACP,Jayempi 10mg/ml oral suspension,Azathioprine
0901030Q0BBAKAK,"Retacrit 30,000units/0.75ml inj pre-filled syringes",Epoetin zeta
0902012L0BFAAAJ,AadNaCl 600mg Slow tablets,Sodium chloride
0908010AUAAAAAA,Sapropterin 100mg soluble tablets sugar free,Sapropterin
091200000BGACFX,Equazen liquid,Other health supplement preparations
0913011M0BDABAI,Ensure Plus Juce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011)
0913011V0BCABAG,Ensure Compact Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011)
0913201D0BBAAAA,HCU Maxamum powder,Powder 39g protein equivalent per 100g (0913201)
0913311A0BCADAC,Meritene Energis powder (3 flavours),Powder OTC ONS (0913311)
0913445A0BFAAAF,L-Ornithine powder,Pdr disc/non ACBS single L-amino acid supplement (0913445)
0913451G0BBABAB,Loprofin low protein part baked bread rolls,Food replacer discontinued or OTC rolls/baguettes (0913451)
0913511A0BBACAE,SMA Little Steps Follow-On milk powder,Powder OTC follow on formula (0913511)
0913531D0BBACAC,BioGaia Protectis chewable tablets,Tablet OTC probiotic (0913531)
0913531D0AAACAC,Generic BioGaia Protectis chewable tablets sugar free,Tablet OTC probiotic (0913531)
0913531A0BEAAAD,BioGaia Protectis Baby oral drops,Liquid OTC probiotic (0913531)
1404000ATBGAJBQ,Comirnaty Omicron XBB.1.5 COVID-19 Vacc single dose vials,Coronavirus vaccine
190205500BCQQA0,MooGoo Ultra Gentle Cleanser with Ceramides,Other toiletry preparations
20020201203,Emcrepe bandage 10cm x 4.5m,Arm Sling/Bandages
20033000265,Sorbex with silicone layer dressing 20cm x 40cm,Wound Management & Other Dressings
20033000411,Emfilm IV dressing 9cm x 12cm,Wound Management & Other Dressings
20033000309,Moderex Hydro-cool Non-Adhesive sheet 5.5cm x 9cm rectangular,Wound Management & Other Dressings
20033000410,Emfilm IV dressing 5cm x 5.7cm,Wound Management & Other Dressings
20033000446,RespoSorb Silicone Border dressing 20cm x 20cm square,Wound Management & Other Dressings
20033000436,Kendall AMD Antimicrobial foam dressing 2.5cm (7mm hole) (fenestrated) disc,Wound Management & Other Dressings
20033000445,RespoSorb Silicone Border dressing 15cm x 15cm square,Wound Management & Other Dressings
20033000452,RespoSorb Silicone Border dressing 25cm x 25cm Heel,Wound Management & Other Dressings
20050600186,BLUselect tracheostomy tube uncuffed 64.5mm length,Tracheostomy & Laryngectomy Appliances
20090001214,Skinnies WEB stockinette waist tube 11-14 years,Stockinette
21020001554,SpiritCare hydrophilic catheter male 8Ch-18Ch,Catheters
21020001585,Liquick X-treme Plus catheter paediatric 10Ch,Catheters
21180000124,Eroxon gel,Erectile Dysfunction Devices
21270002960,Mobiderm made to measure thigh length open toe,Lymphoedema Garments
21270002962,Juxta (15-25mmHg) compression undersock,Lymphoedema Garments
21270002957,Mobiderm made to measure armsleeve with mitten and thumb,Lymphoedema Garments
21270002956,Mobiderm made to measure armsleeve,Lymphoedema Garments
21270002958,Mobiderm made to measure armsleeve with mitten no thumb,Lymphoedema Garments
21270002959,Mobiderm made to measure below knee open toe,Lymphoedema Garments
21290000157,Aircast XP diabetic walker system large,Pressure Offloading Device
21300000980,AddTear Hypromellose 0.3% eye drops preservative free,Eye Products
21300000979,Ocufresh-C 0.3% eye drops,Eye Products
21410000135,Debrichem gel 3ml vial,Debridement Device
22902409032,Male pubic pressure urinal straight cone small straight,Urinal Systems
23156501517,Ostolift medical adhesive remover spray,Adhesive Removers (Sprays/Liquids/Wipes)
23300000019,Suportx shield ostomy belt with Easy Peel fastening extra large 15cm right shield black,Belts
23305951189,Fulcionel AR ostomy belt medium 16cm,Belts
23305951191,Fulcionel AR ostomy belt extra large 16cm,Belts
23305951187,Fulcionel AR ostomy belt extra small 16cm,Belts
23305951190,Fulcionel AR ostomy belt large 16cm,Belts
23305951188,Fulcionel AR ostomy belt small 16cm,Belts
23355903728,"Moderma Flex convex colostomy bag with filter and CeraPlus skin barrier, maxi 30mm beige",Colostomy Bags
23605906194,"Moderma Flex soft convex ileo bag+fltr,CeraPlus s/barr,diamond/barr, Lock'n'Roll, maxi 32mm beige",Ileostomy Bags
23963059710,UltraMax urostomy bag 12mm,Urostomy Bags
23965909796,NovaLife TRE convex urostomy bag 15mm-37mm clear,Urostomy Bags
23965909783,Welland Aura Plus soft convex urostomy bag maxi 13mm-25mm clear,Urostomy Bags
23965909786,Option Microskin urostomy bag with window 13mm-50mm,Urostomy Bags
23965909794,NovaLife TRE convex urostomy bag with viewing option 25mm,Urostomy Bags
23965909807,NovaLife TRE soft convex urostomy bag 15mm-44mm clear,Urostomy Bags
23965909810,NovaLife TRE urostomy bag with viewing option 15-55/70mm,Urostomy Bags
23965909806,NovaLife TRE soft convex urostomy bag 15mm-34mm clear,Urostomy Bags
23965909801,NovaLife TRE soft convex urostomy bag with viewing option 15mm-34mm,Urostomy Bags
