vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
43170511000001103,Exagamglogene autotemcel 4million-13million cells/ml dispersion for infusion vials,43170211000001101,Exagamglogene autotemcel
43793011000001104,Lecanemab 200mg/2ml solution for infusion vials,43842211000001107,Lecanemab
43793111000001103,Lecanemab 500mg/5ml solution for infusion vials,43842211000001107,Lecanemab
44881811000001105,Lisocabtagene maraleucel 1.1million-70million cells/ml / 1.1million-70million cells/ml dispersion for infusion vials,1148951001,Lisocabtagene maraleucel
