BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106040M0BBAAAA,Movicol oral powder 13.7g sachets lemon & lime,Macrogol 3350
0106040M0BBAEAA,Movicol Chocolate oral powder 13.7g sachets,Macrogol 3350
0106040M0BBAJAB,Movicol Paediatric Chocolate oral powder 6.8g sachets,Macrogol 3350
0407010X0AAAJAJ,Generic Veganin tablets,Paracetamol combined preparations
0606010U0BEAAAE,Terrosa 20micrograms/80microlitres dose inj 2.4ml cartridge,Teriparatide
0901012P0BBABAB,Ferinject 500mg/10ml dispersion for injection vials,Iron carboxymaltose
0913011N0BEAAAA,Ensure Plus milkshake style liquid (8 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011)
0913142A0BBAAAA,Polycal liquid neutral,RtS 2.5 kcal/ml energy (carbohydrate) liquid (0913142)
0913205S0BBAAAA,PKU sphere20 liquid (3 flavours),Ready to serve 20g GMP protein equivalent
1203030M0BPAAAQ,Covonia Sore Throat 0.2%/0.05% oromucosal spray menthol,Lidocaine hydrochloride
23351003883,"SenSura Mio deep convex colostomy bag with filter, maxi 10-43mm",Colostomy Bags
