vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
45707311000001101,Apixaban 1mg/ml oral suspension sugar free,774624002.0,Apixaban
45435811000001100,Bisoprolol 500micrograms/ml oral solution sugar free,774880006.0,Bisoprolol
44931111000001103,Generic Comirnaty KP.2 adults and adolescents from 12 years COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection pre-filled syringes,3.93307110000011e+16,COVID-19 vaccine
46163211000001105,Chlorhexidine gluconate 0.1% eye drops,775164006.0,Chlorhexidine
8484811000001101,Doxepin 50mg/5ml oral solution,775696004.0,Doxepin
46138811000001106,Ethanol 95% solution for infusion 20ml ampoules,775880004.0,Ethanol
46106711000001106,Fluorouracil 1% eye drops preservative free,776002003.0,Fluorouracil
46031611000001107,Glycopyrronium 8mg/g cream (2.2mg per actuation),1.3298001000001104e+16,Glycopyrronium bromide
12636611000001107,Hyoscine butylbromide 5mg/5ml oral solution,1.3868211000001104e+16,Hyoscine butylbromide
12140011000001100,Methylphenidate 10mg/5ml oral solution,776752004.0,Methylphenidate
45489611000001109,Methylphenidate 40mg modified-release chewable tablets sugar free,776752004.0,Methylphenidate
46056911000001107,Nusinersen 50mg/5ml solution for injection vials,776952005.0,Nusinersen
46107311000001105,Phenobarbital 50mg/5ml oral suspension sugar free,777167003.0,Phenobarbital
45490111000001107,Serplulimab 100mg/10ml solution for infusion vials,4.54888110000011e+16,Serplulimab
45248011000001100,Sodium hyaluronate 0.1% / Ectoine 2% eye drops preservative free,3.3759111000001108e+16,Sodium hyaluronate + Ectoine
45792511000001107,Terlipressin 1mg/8.5ml solution for injection vials,777717004.0,Terlipressin
7280811000001103,Compression hosiery class II kneecap flatbed knit made to measure,,
38581611000001107,Generic AC-F 213 liquid acid concentrate for haemodialysis 4.7litre containers,,
46106811000001103,Generic Silonda sensitive skin care lotion,,
46106911000001108,Generic Skinsan 2% antimicrobial wash,,
37787711000001101,Knee pressure offloading device,,
