BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0402020AAAAADAD,Risperidone 75mg pdr and solvent for prolonged-rel inj pfs,Risperidone
0402020ABAAACAC,Paliperidone 100mg/1ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBBAAAA,Xeplion 50mg/0.5ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBBABAB,Xeplion 75mg/0.75ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBBACAC,Xeplion 100mg/1ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBBADAD,Xeplion 150mg/1.5ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBCAAAF,Trevicta 175mg/0.875ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBCABAG,Trevicta 263mg/1.315ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBCACAH,Trevicta 350mg/1.75ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBCADAI,Trevicta 525mg/2.625ml prolonged-rel inj pf syringes,Paliperidone
0402020ABBDAAAK,Byannli 700mg/3.5ml prolonged-rel inj pf syringes,Paliperidone
0410030A0BGAAAN,Buvidal 8mg/0.16ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGABAP,Buvidal 16mg/0.32ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGACAQ,Buvidal 24mg/0.48ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGADAR,Buvidal 32mg/0.64ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGAEAS,Buvidal 64mg/0.18ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGAFAT,Buvidal 96mg/0.27ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGAGAU,Buvidal 128mg/0.36ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0410030A0BGAHAV,Buvidal 160mg/0.45ml prolonged-rel inj pf syringes,Buprenorphine hydrochloride
0601023Y0BCACAE,Bydureon BCise 2mg/0.85ml prolonged-rel inj pf pens,Exenatide
0906040G0EKABEL,Ivvion Vitamin D3 10microgram (400unit) tablets,Colecalciferol
0913011W0BBABAB,Fortisip Compact Protein liquid (10 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913311K0BBAAAA,Aymes 2.0kcal Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913311)"
0913444A0AAABAB,Generic Low Fat Module powder,Powder disc or non ACBS infant formula (0913444)
0913461C0BKAABH,Tobia Teff gluten free brown bread mix,Specialist food replacer OTC/disc flour type mixes (0913461)
20031700307,Zetuvit Plus Superabsorber dressing 10cm x 10cm square,Wound Management & Other Dressings
20031700308,Zetuvit Plus Superabsorber dressing 10cm x 20cm rectangular,Wound Management & Other Dressings
20031700309,Zetuvit Plus Superabsorber dressing 15cm x 20cm rectangular,Wound Management & Other Dressings
20031700310,Zetuvit Plus Superabsorber dressing 20cm x 25cm rectangular,Wound Management & Other Dressings
20031700311,Zetuvit Plus Superabsorber dressing 20cm x 40cm rectangular,Wound Management & Other Dressings
20033000549,Zetuvit Plus Superabsorber dressing 20cm x 60cm rectangular,Wound Management & Other Dressings
21011300333,Bloccs Waterproof Cast & Dressing Cover limb protector child elbow/PICC medium,Other Appliances
21270002735,Sigvaris Complete (10-20mmHg) liner calf,Lymphoedema Garments
21270002738,Sigvaris Transition (10-20mmHg) liner calf,Lymphoedema Garments
23351003695,Conseal colostomy plug 35mm length 20-35mm,Colostomy Bags
23351003696,Conseal colostomy plug 35mm length 35-45mm,Colostomy Bags
23351003697,Conseal colostomy plug 45mm length 20-35mm,Colostomy Bags
23351003698,Conseal colostomy plug 45mm length 35-45mm,Colostomy Bags
