BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0302000AAAAABAB,Generic Trimbow 172microg/5microg/9microg/dose inh CFC free,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0704030J0BHAAAI,Cystitis Relief 4g gran for soln sachets (The Boots Co),Sodium citrate
0913101B0BBAAAA,Arize powder,Powder extensively hydrolysed formula rice based (0913101)
0913461A0BDADAH,Juvela gluten free cornflakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
0913461H0BIAAAU,Lifestyle gluten free brown bread rolls,Specialist food replacer OTC/disc rolls/baguettes (0913461)
1104020AEAAACAC,Ciclosporin 2% eye ointment,Ciclosporin (Eye Anti Inflammatory)
1104020AEAAADAD,Ciclosporin 2% eye drops preservative free,Ciclosporin (Eye Anti Inflammatory)
1311060Q0AAALAL,Potassium permanganate 0.01% topical solution,Potassium permanganate
1404000L0BEADAF,Prevenar 20 vacc inj 0.5ml pre-filled syringes,Pneumococcal
20050300351,Shiley cuffed tracheostomy tube with disposable inner cannula 79mm length 8CN85A,Tracheostomy & Laryngectomy Appliances
21011300321,Bloccs Waterproof Cast & Dressing Cover limb protector child small arm,Other Appliances
21011300332,Bloccs Waterproof Cast & Dressing Cover limb protector child elbow/PICC small,Other Appliances
22506155010,Ugo 3H sterile leg bag with T tap,Leg Bags
22506155011,Ugo 4H sterile leg bag with T tap,Leg Bags
23355903724,"Protea Vital colostomy bag with filter, large 13mm-63mm beige",Colostomy Bags
23464804601,Esenta Diamonds sachets,Discharge Solidifying Agents
23600106368,"Moderma Flex soft convex ileo bag+fltr, CeraPlus s/barr, adh bdr & Lock 'n' Roll, midi 30mm trans",Ileostomy Bags
23605906242,"Protea Vital ileostomy bag with filter, large 13mm-63mm beige",Ileostomy Bags
