BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0101021C0BNAAAF,Galpharm Peppermint Antacid tablets,Calcium carbonate
0106040M0BLACAB,Strigol Paediatric oral powder 6.86g sachets,Macrogol 3350
0302000K0AABDBD,Budesonide 500micrograms/2ml neb susp unit dose ampoules,Budesonide
0302000AAAAAAAA,Generic Trimbow 87microg/5microg/9microg/dose inh CFC free,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000AAAAABAB,Generic Trimbow 172microg/5microg/9microg/dose inh CFC free,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0401020B0AAAGAG,Buspirone 5mg/5ml oral suspension,Buspirone hydrochloride
0402010ADBEABAF,Elozar 15mg orodispersible tablets,Aripiprazole
0402020ADAAADAD,Aripiprazole 720mg/2.4ml prolonged-release inj pf syringes,Aripiprazole
0407010F0AABBBB,Co-codamol 30mg/500mg effervescent tablets sugar free,Co-codamol (Codeine phosphate/paracetamol)
0407020AGBDAFAI,Tadomon 25mg prolonged-release tablets,Tapentadol
040801060AABZBZ,Clobazam 1.5mg/5ml oral liquid,Clobazam
0408010ADAAAHAH,Zonisamide 20mg/ml oral suspension sugar free,Zonisamide
0601023ABBDAAAA,Nevolat 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide
0601023ABBEAAAA,Zegluxen 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide
0603020T0AABDBD,Prednisolone 25mg/5ml oral liquid,Prednisolone
0607020Y0AAABAB,Linzagolix 100mg tablets,Linzagolix
0704050R0BFAAAA,Avarante 10mg tablets,Tadalafil
0901020D0BPACAJ,SunVit-Pro Vitamin B12 100microgram tablets,Cyanocobalamin
0901020G0AACBCB,Folic acid 2mg/5ml oral liquid,Folic acid
0902013S0BEABAP,BiCarb-600 tablets,Sodium bicarbonate
0906024N0CQABAG,Purosure Pyridoxine 10mg tablets,Pyridoxine hydrochloride
0906040G0EQAEEL,Actium D3 400unit tablets,Colecalciferol
090607000BBMGBR,"Life On Derma-Life Hair, Nail & Skin tablets",Other multivitamin preparations
091200000BGAAFV,Equazen capsules,Other health supplement preparations
0913011N0AAAJAJ,Generic EnergieShake Complete 1.5kcal liquid,Ready to serve 1.5 kcal/ml milkshake (0913011)
0913061D0AAABAB,Generic Elemental 028 Extra powder,Powder 4.4 kcal/g juice style (0913061)
0913311B0AAAAAA,Generic Meritene Energis Soup oral powder 50g sachets,Powder OTC or discontinued soup (0913311)
0913461A0BDADAH,Juvela gluten free cornflakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
0913461H0BIAAAU,Lifestyle gluten free brown bread rolls,Specialist food replacer OTC/disc rolls/baguettes (0913461)
1104020AEBDAAAB,Cequa 0.9mg/ml eye drops 0.25ml unit dose,Ciclosporin (Eye Anti Inflammatory)
