BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0102000N0AAATAT,Hyoscine butylbromide 20mg/5ml oral suspension,Hyoscine butylbromide
0102000T0BNAAAA, Purosure Peppermint oil 0.2ml gastro-resistant capsules,Peppermint oil
0202040S0AAAKAK,Spironolactone 5mg/5ml / Chlorothiazide 50mg/5ml liquid,Spironolactone with thiazides
0307000C0BVABAM,AbNAC 600mg tablets,Acetylcysteine
0401010ADBHAACZ,Neomel 1mg/ml oral solution,Melatonin
0402020ADAAAFAF,Aripiprazole 300mg pdr and solvent for prolonged-rel inj pfs,Aripiprazole
0403030X0AAAKAK,Escitalopram 15mg tablets,Escitalopram
0408010A0AAAXAX,Levetiracetam 500mg orodispersible tablets sugar free,Levetiracetam
0409010I0AAANAN,Levodopa 33mg inhalation powder capsules with device,Levodopa
0411000E0BMABAF,Alzakt 4.6mg/24hours transdermal patches,Rivastigmine
0411000G0BHAAAF,Mentino 10mg orodispersible tablets,Memantine hydrochloride
0601023ABBHAAAA,Plaobes 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide
0601023AWAAAQAQ,Semaglutide 7.2mg/0.75ml inj pre-filled disposable devices,Semaglutide
0601023AWBDAFAP,Wegovy FlexTouch 0.5mg/0.75ml inj 3ml pre-filled pens,Semaglutide
0601023AWBDAGAQ,Wegovy 7.2mg/0.75ml solution for injection pre-filled pens,Semaglutide
0601060D0FHAAA0,ALLYbg testing strips,Glucose blood testing reagents
0601060D0FIAAA0,Gluco Ignite Glucose testing strips,Glucose blood testing reagents
0601060W0BPAAA0,ALLYbk beta-ketone testing strips,Ketone blood testing reagents
0602020D0AAATAT,Carbimazole 2.5mg/5ml oral liquid,Carbimazole
0603020G0AABWBW,Dexamethasone 3mg/5ml oral liquid,Dexamethasone
0704030G0BIAABC,Renodyra 1080mg modified-release tablets,Potassium citrate
0801030H0AAAWAW,Fluorouracil 1g/20ml solution for injection vials,Fluorouracil (Antimetabolites)
0801050BRAAAAAA,Cabozantinib 20mg capsules,Cabozantinib
0802040M0BBAFAI,Rebif 22microg/0.5ml inj and Rebif 8.8microg/0.2ml inj pfs,Interferon beta
0902011U0BSAABK,AabKCL effervescent tablets,Potassium chloride
0902012H0BWADAR,O.R.S Kids Oral Rehydration Salts ORS soluble tablets,Oral rehydration salts
0902021S0BNAJAZ,Sodium chloride 0.9% infusion 1litre Freeflex Plus bags,Sodium chloride
0905030G0BPAFBY,Colgate Duraphat Protify 5000ppm fluoride toothpaste,Sodium fluoride
0906040G0BWBLDP,"SunVit-D3 25,000units/2.5ml oral solution",Colecalciferol
0906040G0ENAEDW,"Aace D3 2,200unit capsules",Colecalciferol
0906040G0EYAAEL,Boots everyday Vitamin D tablets,Colecalciferol
0913461E0BHAAAP,Just: Gluten Free Good white bread sliced,Specialist food replacer OTC or disc bread (0913461)
1001040C0AABBBB,Allopurinol 300mg/5ml oral suspension sugar free,Allopurinol
1103010C0BSAAAA,Ocufresh Infected Eyes 0.5% eye drops,Chloramphenicol
