vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
43989811000001102,Ciclosporin 900micrograms/ml eye drops 0.25ml unit dose preservative free,775242005.0,Ciclosporin
44923511000001108,"Efanesoctocog alfa 3,000unit powder and solvent for solution for injection vials",4.49132110000011e+16,Efanesoctocog alfa
38195611000001101,"Efmoroctocog alfa 4,000unit powder and solvent for solution for injection vials",781175005.0,Efmoroctocog alfa
42826711000001106,Gadopiclenol 0.5mmol/ml solution for injection 10ml pre-filled syringes,4.28237110000011e+16,Gadopiclenol
42826911000001108,Gadopiclenol 0.5mmol/ml solution for injection 7.5ml pre-filled syringes,4.28237110000011e+16,Gadopiclenol
42827011000001107,Gadopiclenol 0.5mmol/ml solution for injection 7.5ml vials,4.28237110000011e+16,Gadopiclenol
43208311000001102,"Trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",9894511000001108.0,Influenza vaccine
14014211000001107,Lansoprazole 30mg/5ml oral solution,776475007.0,Lansoprazole
44122111000001108,Phenoxymethylpenicillin 500mg tablets,777175009.0,Phenoxymethylpenicillin
40194111000001106,Sodium iodide [I-131] 430MBq capsules,783855009.0,Sodium iodide [I-131]
41293911000001104,Sodium iodide [I-131] 5.994GBq capsules,783855009.0,Sodium iodide [I-131]
40155711000001102,Sodium iodide [I-131] 536.5MBq capsules,783855009.0,Sodium iodide [I-131]
39730111000001100,Sodium iodide [I-131] 647.5MBq capsules,783855009.0,Sodium iodide [I-131]
41296011000001106,Sodium iodide [I-131] 6GBq capsules,783855009.0,Sodium iodide [I-131]
42217011000001106,Triamterene 50mg capsules,777832001.0,Triamterene
44100411000001106,Zonisamide 20mg/ml oral suspension sugar free,777991006.0,Zonisamide
44166411000001109,Generic Arize powder,,
40892011000001106,Generic Glutafin gluten free Select multipurpose white mix,,
42435211000001103,Generic Grape 20mg/ml solution for skin prick test,,
44035911000001109,Generic Mustard 5mg/ml solution for skin prick test,,
15519311000001105,Generic Omegaven emulsion for infusion 50ml vials,,
42424111000001108,Generic Soya Flour 100DBU/ml solution for skin prick test,,
