vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
20453311000001103,Amitriptyline 2% / Ketamine 1% cream,2.04488110000011e+16,Amitriptyline + Ketamine
45354211000001109,Amivantamab 1.6g/10ml solution for injection vials,1162898009.0,Amivantamab
45354311000001101,Amivantamab 2.24g/14ml solution for injection vials,1162898009.0,Amivantamab
45077311000001108,Belantamab mafodotin 70mg powder for solution for infusion vials,896749002.0,Belantamab mafodotin
43726311000001100,Generic Comirnaty JN.1 COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection pre-filled syringes,3.93307110000011e+16,COVID-19 vaccine
11818411000001106,Cyclophosphamide 75mg/5ml oral solution,775423009.0,Cyclophosphamide
43007311000001109,Etranacogene dezaparvovec 100 tera genome copies/10ml solution for infusion vials,4.30072110000011e+16,Etranacogene dezaparvovec
45354611000001106,Guselkumab 200mg/20ml solution for infusion vials,776165000.0,Guselkumab
45354711000001102,Guselkumab 200mg/2ml solution for injection pre-filled disposable devices,776165000.0,Guselkumab
30723611000001101,Honey impregnated gauze dressing 30cm x 60cm,9871211000001102.0,Honey
45377511000001101,Isoprenaline hydrochloride 1mg/5ml solution for infusion ampoules,776419006.0,Isoprenaline
30799811000001109,Lactic acid 5% in Aqueous cream,776458001.0,Lactic acid
45010711000001102,Lazertinib 240mg tablets,4.49914110000011e+16,Lazertinib
45391711000001105,Mirvetuximab soravtansine 100mg/20ml solution for infusion vials,4.537121100000111e+16,Mirvetuximab soravtansine
13268811000001105,Pyrazinamide 1g/5ml oral solution,777364002.0,Pyrazinamide
45342711000001105,Sparsentan 200mg tablets,4.533771100000111e+16,Sparsentan
45342811000001102,Sparsentan 400mg tablets,4.533771100000111e+16,Sparsentan
39496011000001101,Thiotepa 400mg powder and 400ml solvent infusion bags,777748007.0,Thiotepa
43007711000001108,Generic Aymes Actagain 1.5 Plant Powered Starter Pack liquid,,
42054111000001101,Generic Systane Ultra eye drops preservative free,,
44941411000001107,Generic Vivomixx neo oral powder 4.4g sachets,,
9300511000001104,Polyurethane foam film dressing sterile with adhesive border 8cm x 8cm square,,
7566811000001106,Toiletries soap liquid,,
