vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
20453311000001103,Amitriptyline 2% / Ketamine 1% cream,20448811000001100,Amitriptyline + Ketamine
43007311000001109,Etranacogene dezaparvovec 100 tera genome copies/10ml solution for infusion vials,43007211000001101,Etranacogene dezaparvovec
45391711000001105,Mirvetuximab soravtansine 100mg/20ml solution for infusion vials,45371211000001109,Mirvetuximab soravtansine
45342711000001105,Sparsentan 200mg tablets,45337711000001108,Sparsentan
45342811000001102,Sparsentan 400mg tablets,45337711000001108,Sparsentan
