BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0109010H0AAAIAI,Cholic acid 50mg capsules,Cholic acid
0206030Z0BDACAC,Ranogelan 750mg prolonged-release tablets,Ranolazine
0206030Z0BDAAAA,Ranogelan 375mg prolonged-release tablets,Ranolazine
0206030Z0BDABAB,Ranogelan 500mg prolonged-release tablets,Ranolazine
0208020X0BBAHAH,Pradaxa 110mg granules sachets,Dabigatran etexilate
0407010X0CUAABM,Calpol Night oral solution,Paracetamol combined preparations
0407020ADBFAKAS,Oxylan 15mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020B0BKAFAM,Reletrans 30micrograms/hour transdermal patches,Buprenorphine
0407020B0BKAGAN,Reletrans 40micrograms/hour transdermal patches,Buprenorphine
0407020B0AAAMAM,Buprenorphine 30micrograms/hour transdermal patches,Buprenorphine
0407020ADBFALAR,Oxylan 30mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020A0BYAICD,Iremia 400microgram sublingual tablets,Fentanyl
0407020A0AACHCH,Fentanyl 67microgram sublingual tablets sugar free,Fentanyl
0407020B0AAANAN,Buprenorphine 40micrograms/hour transdermal patches,Buprenorphine
0407020ADBFAMAQ,Oxylan 60mg prolonged-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407042U0BBABAB,Aquipta 60mg tablets,Atogepant
0408010C0AABFBF,Carbamazepine 120mg/5ml oral liquid,Carbamazepine
0411000G0BFADAK,Valios 5mg orodispersible tablets sugar free,Memantine hydrochloride
0503010Y0AAAAAA,Zidovudine 100mg capsules,Zidovudine
0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide
0603020G0AAA8A8,Dexamethasone 4mg/5ml oral liquid,Dexamethasone
0604012W0BDAAAA,Sawis 2mg tablets,Dienogest
0605010AGAAABAB,Somatrogon 60mg/1.2ml inj pre-filled disposable devices,Somatrogon
0606020Z0BCABAC,Xgeva 120mg/1ml solution for injection pre-filled syringes,Denosumab
0803042N0AAAGAG,Leuprorelin 1.88mg inj pre-filled syringes,Leuprorelin acetate
0803042N0BBAEAG,Prostap PD DCS 1.88mg inj pre-filled syringes,Leuprorelin acetate
0902011U0BRAABK,Aace K effervescent tablets,Potassium chloride
0905011D0BJAAAK,AaceCa 1500mg chewable tablets,Calcium carbonate
090502100BPBDAA,Phosphate Phebra effervescent tablets,Other phosphate supplement preparations
0906022K0BGADAA,NicoVit-B3 50mg tablets,Nicotinamide
0906024N0AABQBQ,Pyridoxine 125mg/5ml oral liquid,Pyridoxine hydrochloride
0906040G0EWAADR,"Colextra-D3 20,000unit capsules",Colecalciferol
0906040G0CIAIDW,"E-D3 2,200unit capsules",Colecalciferol
090607000BBLZBJ,Life On Vitokid Multivitamin drops sugar free,Other multivitamin preparations
0913271A0AAAEAE,Generic Genius gluten free white sandwich bread sliced,Specialist food replacer bread (0913271)
0913531A0BEACAF,BioGaia Pharax Kids Probiotic oral drops,Liquid OTC probiotic (0913531)
0913531D0BBAAAA,BioGaia Protectis with Vitamin D+ chewable tablets,Tablet OTC probiotic (0913531)
0913531A0AAADAD,Generic BioGaia Protectis Baby oral drops,Liquid OTC probiotic (0913531)
1106000L0BEAAAC,Lotacryn 50micrograms/ml eye drops,Latanoprost
1203030M0BRAAAR,Chloralieve Blackcurrant lozenges,Lidocaine hydrochloride
1404000F0BTAABD,Adacel vacc inj 0.5ml pre-filled syringes,Diphtheria
1502010J0AAERER,Lidocaine 100mg/Adrenaline (base) 50microg/10ml inj amps,Lidocaine hydrochloride
20030900453,Spirit Silicone Foam Non-Border dressing 15cm x 15cm,Wound Management & Other Dressings
20033000368,Emfilm S dressing 10cm x 25cm,Wound Management & Other Dressings
20033000427,Avance Solo Border dressing 15cm x 15cm,Wound Management & Other Dressings
20033000438,Cutimed Sorbion Border dressing 10cm x 10cm square,Wound Management & Other Dressings
20050300430,Laryngotec Kombi laryngectomy tube 90mm length (non-fenestrated) size 12,Tracheostomy & Laryngectomy Appliances
20050600195,BLUselect tracheostomy tube Soft-Seal cuff Suctionaid 73mm length,Tracheostomy & Laryngectomy Appliances
20150000022,Dermabond Advanced skin adhesive,"Skin Adhesive, Sterile"
21012600201,Knoxzy Sodium Bicarbonate 5% ear drops,Other Appliances
21012600200,Knoxzy Olive Oil ear drops,Other Appliances
21020001590,GC Air catheter female V2.0 10Ch-14Ch,Catheters
21070630179,Doff N' Donner Cone compression hosiery applicator,Elastic Hosiery
21270002935,Juzo Move class 3 (34-46mmHg) below knee open toe with silicone balance border,Lymphoedema Garments
21280000184,Qufora IrriSedo MiniGo Flex Small 30 irrigation set,Anal Irrigation System
22306153059,Discreet sheath short 25mm,Incontinence Sheaths
22306153054,Discreet sheath regular 25mm,Incontinence Sheaths
22506155020,"SpiritCare sterile leg bag with T-valve and leg strap 750ml bag, short tube",Leg Bags
22901259002,Mersey urinal with plastic bags and connecting tube,Urinal Systems
23300263331,Suportx breathable tube ostomy belt with hole XX large 20cm black,Belts
23300263332,Suportx breathable tube ostomy belt with hole XXX large 20cm black,Belts
23355903727,"Moderma Flex convex colostomy bag with filter and CeraPlus skin barrier, maxi 25mm beige",Colostomy Bags
23605906246,"Moderma Flex convex ileo bag+fltr, CeraPlus s/barr, diamond/barr & Lock'n'Roll, midi 15-51mm beige",Ileostomy Bags
23943459473,Pelican Platinum two piece ostomy system baseplate 80mm ring 45mm,Two Piece Ostomy Systems
