BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0402020ABBDAAAK,Byannli 700mg/3.5ml prolonged-rel inj pre-filled syringes,Paliperidone
0803042N0AAAGAG,Leuprorelin 1.88mg pdr and solvent for prolonged-rel inj pfs,Leuprorelin acetate
0902012H0BXAEA0,SOS Daily Hydration oral powder sachets watermelon,Oral rehydration salts
091000000BBUQBT,Viteyes Original Formula Plus Lutein capsules,Other compound vitamin/mineral formulation preparations
0913461E0BDACAE,Genius gluten free brown bread unsliced,Specialist food replacer OTC or disc bread (0913461)
1315000G0BLABBL,Pigmanorm cream,Depigmenting agents
1502010V0AAAAAA,Levobupivacaine 25mg/10ml (0.25%) inj ampoules,Levobupivacaine hydrochloride
23303353003,Adjustable ostomy belt 100cm (OCB02) (Oakmed Ltd),Belts
23303453000,Adjustable ostomy belt 100cm beige (133006) (Pelican Healthcare Ltd),Belts
