BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0102000N0BCAAAB,Sigmopan 10mg tablets,Hyoscine butylbromide
0206020R0AABNBN,Nifedipine 2.2mg/5ml oral suspension,Nifedipine
0208020Z0AAACAC,Apixaban 1mg/ml oral suspension sugar free,Apixaban
0401010ADBIACBL,Mellozzan 5mg tablets,Melatonin
040201060AABFBF,Olanzapine 5mg/5ml oral suspension,Olanzapine
0403040W0AAAYAY,Venlafaxine 300mg modified-release capsules,Venlafaxine
0403040W0CCAEAY,Vencarm XL 300mg capsules,Venlafaxine
0404000M0BRAABD,Tuzulby 20mg prolonged-release chewable tablets,Methylphenidate hydrochloride
0404000M0BRACBF,Tuzulby 40mg prolonged-release chewable tablets,Methylphenidate hydrochloride
0404000M0BSAAAM,Kixel XL 18mg tablets,Methylphenidate hydrochloride
0407010B0AAANAN,Aspirin 300mg orodispersible tablets sugar free,Aspirin
0407020AGBFAEAG,Vecicom 250mg prolonged-release tablets,Tapentadol
0501100C0BBACAC,Lamprene 50mg capsules,Clofazimine
0503010AZBBABAB,Triumeq 50mg/600mg/300mg tablets,Dolutegravir/Abacavir/Lamivudine
0601023AWAAANAN,Semaglutide 2mg/0.74ml inj 3ml pre-filled disposable devices,Semaglutide
0601023AWBBADAN,Ozempic 2mg/0.74ml inj 3ml pre-filled pens,Semaglutide
0606020Z0BRAAAA,Osvyrti 60mg/1ml solution for injection pre-filled syringes,Denosumab
0606020Z0BTAAAA,Zadenvi 60mg/1ml solution for injection pre-filled syringes,Denosumab
0901011F0BJAAAE,Purosure Ferrous fumarate 210mg tablets,Ferrous fumarate
0901011P0AACCCC,Ferrous sulfate 160mg/5ml oral solution,Ferrous sulfate
0901020G0AACSCS,Folic acid 150micrograms/5ml oral liquid,Folic acid
0901030Q0BBABAB,"Retacrit 2,000units/0.6ml inj pre-filled syringes",Epoetin zeta
090501300BBFWBK,Ultra Magnesium tablets,Other magnesium preparations
0906024N0CRABAN,ActiPyrid 20mg tablets,Pyridoxine hydrochloride
0906040G0EQAGDF,"Actium D3 3,200unit capsules",Colecalciferol
0913201E0BBAAAA,HCU Lophlex LQ 10 liquid,Ready to serve 10g protein equivalent (0913201)
0913451F0BCAAAB,PK Foods low protein pasta spirals,Food replacer discontinued or OTC pasta (0913451)
1001030T0BCABAB,Remsima 120mg/1ml solution for injection pre-filled pens,Infliximab
1002020J0AABEBE,Dantrolene 2mg/5ml oral liquid,Dantrolene sodium
130201000BBMLDS,CeraVe moisturising cream,Other emollient preparations
130202000AABABA,Generic Metanium Everyday Barrier ointment,Other barrier preparations
1307000M0AACACA,Salicylic Acid 10% medicated plasters,Salicylic acid
1501010L0AAABAB,Propofol 1% (500mg/50ml) emulsion for infusion vials,Propofol
1502010Z0AAAAAA,Bupivacaine 100mg (0.1%) / Fentanyl 200microg/100ml inf bags,Bupivacaine hydrochloride and fentanyl citrate
20020201229,Profore latex free multi-layer compression bandage kit 25cm-30cm ankle circumference,Arm Sling/Bandages
20030600278,Spirit Foam dressing 10cm x 13cm heel,Wound Management & Other Dressings
20033000586,GBUK Non Woven Island dressing 6cm x 8.3cm,Wound Management & Other Dressings
20033000594,ActiDress sterile dressing pack with gloves,Wound Management & Other Dressings
20033000596,kliniderm Foam Silicone Border Flexible dressing 10cm x 30cm,Wound Management & Other Dressings
20033000597,kliniderm Foam Silicone Border Flexible dressing 15cm x 20cm,Wound Management & Other Dressings
20033000605,Cinesteam dressing 11cm x 11cm,Wound Management & Other Dressings
20033000606,Cutimed Sorbact Hydro dressing 15cm x 20cm rectangular,Wound Management & Other Dressings
20050600230,BLUselect tracheostomy tube inner cannula 75.5mm length (fenestrated),Tracheostomy & Laryngectomy Appliances
21012600270,"Balance gellhorn pessary size 4, 64mm diameter, silicone, standard stem",Other Appliances
21012600272,"Balance gellhorn pessary size 6, 76mm diameter, silicone, standard stem",Other Appliances
21012600274,"Balance gellhorn pessary size 8, 89mm diameter, silicone, standard stem",Other Appliances
21012600275,"Balance gellhorn pessary size 9, 95mm diameter, silicone, standard stem",Other Appliances
21012600278,"Balance gellhorn pessary size 2, 51mm diameter, silicone, short stem",Other Appliances
21012600279,"Balance gellhorn pessary size 3, 57mm diameter, silicone, short stem",Other Appliances
21012600282,"Balance gellhorn pessary size 6, 76mm diameter, silicone, short stem",Other Appliances
21012600287,VentiChamber with small mask,Other Appliances
21012600289,VentiChamber with large mask,Other Appliances
21012600290,Greenpoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,Other Appliances
21012600291,Greenpoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge,Other Appliances
21012600292,Greenpoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge,Other Appliances
21012600293,embecta AutoShield Duo hypod ins needles for pf / reusable pen injectors screw on 5mm/31gauge,Other Appliances
21012600294,embecta Micro-Fine hypod ins needles for pf / reusable pen injectors screw on 5mm/31gauge,Other Appliances
21012600296,embecta Micro-Fine Ultra hypod ins needles for pf / reusable pen injectors screw on 4mm/32gauge,Other Appliances
21020001621,CareTip hydrophilic catheter female 8Ch-18Ch,Catheters
21020001626,The Ugobox Ugo 2C open ended catheter male 12Ch-16Ch,Catheters
21020001627,Infyna hydrophilic catheter male 8Ch-16Ch,Catheters
21270003044,Juzo Move custom fit class 3 (34-46mmHg) below knee closed toe with silicone adhesive border,Lymphoedema Garments
21270003053,Eurostar 2 Sense custom fit class 2 (23-32mmHg) thigh length with hip attachment,Lymphoedema Garments
21270003076,Biflex Self Adjust arm,Lymphoedema Garments
21270003157,Jobst FarrowWrap liner thigh length,Lymphoedema Garments
21270003160,Haddenham Pertex custom fit partial lining for lymphoedema garment lower extremities,Lymphoedema Garments
21300001000,Eyeaze Pro eye drops preservative free,Eye Products
23305951213,Stomex abdominal support belt size 2,Belts
23305951216,Adjustable ostomy belt 100cm black (133007) (Pelican Healthcare Ltd),Belts
23605906358,Option hydrocolloid low profile soft convex ileo bag + filter & window 40mm plateau 30mm opaque,Ileostomy Bags
23806558017,CliniShield Advance protective barrier cream,Skin Fillers And Protectives
23858588562,Ally ring 48mm x 4.5mm,Skin Protectors
23858588563,Ally ring 98mm x 3mm,Skin Protectors
23945909654,Ostoform Flowassist two piece ostomy system baseplate 25-32mm,Two Piece Ostomy Systems
23965909790,Option Microskin urostomy bag with window 25mm,Urostomy Bags
