BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0402020ABBDABAJ,Byannli 1000mg/5ml prolonged-rel inj pre-filled syringes,Paliperidone
0503010AZBBABAB,Triumeq 50mg/600mg/300mg tablets,Dolutegravir/Abacavir/Lamivudine
0913205N0BBAIAH,PKU Lophlex Select 20 liquid (2 Flavours),Ready to serve 20g protein equivalent (0913205)
0913451F0BCAAAB,PK Foods low protein pasta spirals,Food replacer discontinued or OTC pasta (0913451)
20032200024,Renasys Touch canister 800ml,Wound Management & Other Dressings
21010000001,"Olive oil ear drops (Bell,Sons & Co)",Other Appliances
23301083020,Fulcionel female support girdle,Belts
23301083021,Fulcionel male support girdle with legs/girdle,Belts
23945909652,Ostoform Flowassist two piece ostomy system ileostomy bag 60mm stone,Two Piece Ostomy Systems
