BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0104020L0AAATAT,Loperamide 2mg oral lyophilisates sugar free,Loperamide hydrochloride
0208020Y0AAAFAF,Rivaroxaban 1mg/ml granules for oral suspension sugar free,Rivaroxaban
0407020ADBFAAAK,Oxylan 5mg modified-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFABAF,Oxylan 10mg modified-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFACAG,Oxylan 20mg modified-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFADAH,Oxylan 40mg modified-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0407020ADBFAEAI,Oxylan 80mg modified-release tablets (G.L. Pharma UK Ltd),Oxycodone hydrochloride
0905011D0BKAAAJ,SunVit-Pro Calcium carbonate 1.25g chewable tablets,Calcium carbonate
090607000BBFNBB,Boots everyday Multivitamins tablets,Other multivitamin preparations
091200000BFLLA0,Pernaton Cooling gel,Other health supplement preparations
0913191A0AAABAB,Fructose powder,Powder carbohydrate supplement (0913191)
0913461H0BDAAAF,Glutafin Select gluten free part baked long fibre rolls,Specialist food replacer OTC/disc rolls/baguettes (0913461)
0913631A0BBAAAA,ProSure liquid,Ready to serve 1.3 - 1.5 kcal/ml milkshake (0913631)
0913631B0BBABAA,Forticare liquid orange & lemon,Ready to serve 1.6 kcal/ml milkshake lower volume (0913631)
190600000AAAGAG,Acetic acid (glacial) 5% solution,Other acid preparations
21270002198,Juzo Liner Dual Stretch (20-30mmHg) below knee open toe,Lymphoedema Garments
