BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0105030C0BBAAAA,Skyrizi 360mg/2.4ml solution for injection cartridges,Risankizumab (Crohn's)
0109040N0BHABBC,"Pangrol 25,000 capsules",Pancreatin
0109040N0BGAABA,Pancreaze Delayed-Release capsules,Pancreatin
0109040N0AABCBC,"Generic Pangrol 25,000 capsules",Pancreatin
0109040N0AAAEAE,Generic Pancrex V oral powder sugar free,Pancreatin
0205051I0AACCCC,Enalapril 250microgram orodispersible tablets sugar free,Enalapril maleate
0206030Z0BCAAAA,Anzipro 375mg modified-release tablets,Ranolazine
0301011R0AACDCD,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose ampoules,Salbutamol
0301011ABAAABAB,Generic Trimbow 172microg/5microg/9microg/dose inh CFC free,Beclometdiprop/formoterol/glycopyrronium
0301011R0AACECE,Salbutamol 5mg/2.5ml nebuliser liquid unit dose ampoules,Salbutamol
0310000N0BYAAAW,Day Nurse tablets,Pseudoephedrine hydrochloride
0407010X0DBAAA0,Fedril Night Cold and Flu oral solution,Paracetamol combined preparations
040702050AAAKAK,Hydromorphone 5mg/5ml oral solution,Hydromorphone hydrochloride
0407020AGBDAEAG,Tadomon 250mg prolonged-release tablets,Tapentadol
0503010AQBBABAB,Biktarvy 30mg/120mg/15mg tablets,Bictegravir/emtricitabine/tenofovir alafenamide
0504060B0AAAAAA,Benznidazole 50mg tablets,Benznidazole
0602010V0BKABBW,Vencamil 25microgram tablets,Levothyroxine sodium
0603020T0AABTBT,Prednisolone 5mg soluble tablets sugar free,Prednisolone
0802040Y0AAAFAF,Lenalidomide 7.5mg capsules,Lenalidomide
0901030N0AAAFAF,Methoxy polyethylene glycol-epoetin beta 250microg/0.3ml inj,Methoxy polyethylene glycol-epoetin beta
0901030U0BBABAB,Evrenzo 50mg tablets,Roxadustat
0906040G0DKACBG,"Natures Aid Vitamin D3 1,000unit tablets",Colecalciferol
0906040G0BIASBG,"Pro D3 1,000unit tablets",Colecalciferol
091200000BGAEGA,Equazen Baby oral liquid in capsules for opening,Other health supplement preparations
0913011N0BCADAN,Aymes Actagain 1.5 Plant Powered Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913011)
0913011D0AAADAD,Generic Aymes Shake Fibre powder 57g sachets,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913141C0BBAHAC,ProSource Plus liquid (3 flavours),RtS 3.3 kcal/ml energy and higher protein liquid (0913141)
0913205E0BBAGAD,PKU GMPro Ultra oral powder 33.4g sachets vanilla,Powder 20g GMP protein equivalent (0913205)
0913271B0AAAAAA,Generic Barkat gluten free par baked baguettes,Specialist food replacer rolls/baguettes (0913271)
0913541C0BEABAA,AddGluco chewable tablets strawberry,Tablets OTC glucose for diabetic hypo treatment (0913541)
1203030ABBBAAAA,Covonia Medicated Sore Throat 5mg/1mg Lemon lozenges,Chlorhexidine hydrochloride / Lidocaine hydrochloride
1203050A0BIADAP,Xerostom saliva substitute gel,Artificial saliva products
1203050A0BIAEAQ,Xerostom toothpaste,Artificial saliva products
1203050A0BIABAM,Xerostom mouthwash,Artificial saliva products
1203050A0BIACAN,Xerostom pastilles,Artificial saliva products
