BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0105030C0BBAAAA,Skyrizi 360mg/2.4ml solution for injection cartridges,Risankizumab (Crohn's)
0504060B0AAAAAA,Benznidazole 50mg tablets,Benznidazole
0913011J0BFAAAB,Fresubin 2kcal Creme dessert cappuccino,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BBAAAF,Aymes ActaCal Creme dessert (2 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BEAAAA,Forticreme Complete dessert banana,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFAIAC,Fresubin YOcreme dessert raspberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BCAAAI,EnergieShake dessert (2 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BGABAE,Nutricrem dessert chocolate orange,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BEACAA,Forticreme Complete dessert forest fruits,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFAGAC,Fresubin YOcreme dessert biscuit,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFAFAC,Fresubin YOcreme dessert apricot-peach,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFAHAC,Fresubin YOcreme dessert lemon,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BGAEAE,Nutricrem dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFADAB,Fresubin 2kcal Creme dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFACAB,Fresubin 2kcal Creme dessert praline,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BEADAA,Forticreme Complete dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BEABAA,Forticreme Complete dessert chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFAEAB,Fresubin 2kcal Creme dessert wild strawberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BBABAH,Aymes ActaCal Creme Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BGACAE,Nutricrem dessert mint chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BGADAE,Nutricrem dessert strawberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BGAAAD,Nutricrem Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BFABAB,Fresubin 2kcal Creme dessert chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913051A0BBAAAA,Nutilis Fruit Dessert Level 4 apple,RtS 1.3 kcal/g dessert style (fruit based) (0913051)
0913051A0BBABAA,Nutilis Fruit Dessert Level 4 strawberry,RtS 1.3 kcal/g dessert style (fruit based) (0913051)
0913091A0BBAAAA,Peptamen Junior powder,Powder 4.6 kcal/g peptide based formula (0913091)
0913093A0BBAAAA,Heparon Junior powder,Powder 4.7 kcal/g formula (0913093)
1203030ABBBAAAA,Covonia Medicated Sore Throat 5mg/1mg Lemon lozenges,Chlorhexidine hydrochloride / Lidocaine hydrochloride
