BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0203020P0AAAIAI,Mexiletine hydrochloride 100mg (Mexiletine 83mg) capsules,Mexiletine hydrochloride
0408010AEBGAABB,Misabri PR 165mg tablets,Pregabalin
0702010F0BCABAA,Ovestin 1mg/g vaginal cream with applic (Imported (Germany)),Estriol
0704010U0BTAAAB,Cositam XL 400microgram tablets (Consilient),Tamsulosin hydrochloride
0913011E0BBAAAA,Aymes ActaSolve High Energy pdr 85g sachets banana milkshake,"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)"
0913011E0BBABAA,Aymes ActaSolve High Energy pdr 85g sach classic chocolate,"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)"
0913011E0BBACAA,Aymes ActaSolve High Energy pdr 85g sachets strawberry burst,"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)"
0913011E0BBADAA,Aymes ActaSolve High Energy pdr 85g sachets smooth vanilla,"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)"
0913461A0BDAEAI,Juvela gluten free flakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
20033000223,HidraWear BB briefs female open gusset small,Wound Management & Other Dressings
20033000224,HidraWear BB briefs female open gusset medium,Wound Management & Other Dressings
20033000225,HidraWear BB briefs female open gusset large,Wound Management & Other Dressings
20033000226,HidraWear BB briefs female open gusset extra large,Wound Management & Other Dressings
20033000227,HidraWear BB briefs female open gusset XX large,Wound Management & Other Dressings
23941009992,"SenSura Mio Click two piece ostomy system colostomy bag with filter, midi 40mm neutral grey",Two Piece Ostomy Systems
23941009993,"SenSura Mio Click two piece ostomy system colostomy bag with filter, midi 50mm neutral grey",Two Piece Ostomy Systems
23941009994,"SenSura Mio Click two piece ostomy system colostomy bag with filter, midi 60mm neutral grey",Two Piece Ostomy Systems
23941010002,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, mini 50mm neutral grey",Two Piece Ostomy Systems
23941010003,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, midi 40mm neutral grey",Two Piece Ostomy Systems
23941010004,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, midi 50mm neutral grey",Two Piece Ostomy Systems
23941010005,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, midi 60mm neutral grey",Two Piece Ostomy Systems
23941010006,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 40mm neutral grey",Two Piece Ostomy Systems
23941010007,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 50mm neutral grey",Two Piece Ostomy Systems
23941010008,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 60mm neutral grey",Two Piece Ostomy Systems
23941010009,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 70mm neutral grey",Two Piece Ostomy Systems
23941010025,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, mini 50mm neutral grey",Two Piece Ostomy Systems
23941010026,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, midi 35mm neutral grey",Two Piece Ostomy Systems
23941010027,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, midi 50mm neutral grey",Two Piece Ostomy Systems
23941010028,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, midi 70mm neutral grey",Two Piece Ostomy Systems
23941010029,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, maxi 35mm neutral grey",Two Piece Ostomy Systems
23941010030,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, maxi 50mm neutral grey",Two Piece Ostomy Systems
23941010031,"SenSura Mio Flex two piece ostomy system colostomy bag with filter, maxi 70mm neutral grey",Two Piece Ostomy Systems
