BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0103050A0AAACAC,Generic Pylera 140mg/125mg/125mg capsules,Helicobacter pylori eradication therapy
0206020A0AAAWAW,Amlodipine 5mg orodispersible tablets sugar free,Amlodipine
0206020A0AAAXAX,Amlodipine 10mg orodispersible tablets sugar free,Amlodipine
0212000AABCABAN,Enebium 10mg orodispersible tablets,Rosuvastatin calcium
0304010ACAAACAC,Levocetirizine 5mg orodispersible tablets sugar free,Levocetirizine
0401010ADBIABCY,Mellozzan 3mg tablets,Melatonin
0407020AGBEABAD,Lupaxis 100mg prolonged-release tablets,Tapentadol
0602010M0AABDBD,Liothyronine 15microgram tablets,Liothyronine sodium
0605010I0BDABAS,Ovaleap 450units/0.75ml solution for injection cartridges,Follitropin alfa
0606020Z0BSAAAB,Jubereq 120mg/1.7ml solution for injection vials,Denosumab
0606020Z0BUAAAA,Obodence 60mg/1ml solution for injection pre-filled syringes,Denosumab
0606020Z0BVAAAA,Ponlimsi 60mg/1ml solution for injection pre-filled syringes,Denosumab
0901020G0CSAABF,Purosure Folic acid 400microgram tablets,Folic acid
090504100AABDBD,Zinc citrate 15mg capsules,Other zinc preparations
0906024N0CRAAAG,ActiPyrid 10mg tablets,Pyridoxine hydrochloride
0906026M0BLAAAF,Purosure Thiamine 50mg tablets,Thiamine hydrochloride
0906040G0ENAFDY,"Aace D3 3,000unit capsules",Colecalciferol
0913282B0AAADAD,Generic Paravit-CF capsules,Tablets/capsules micronutrient supplement (0913282)
0913461A0BDAEAI,Juvela gluten free flakes,Specialist food replacer OTC/disc breakfast cereal (0913461)
0914032B0BBABAD,Peptamen HN PHGG tube feed liquid,Tube feed 1.3 kcal/ml peptide based (0914032)
1105000B0BEAAAE,Ocutrop 1% eye drops,Atropine sulfate
1202010Y0BDAAAA,Lutonaze 137micrograms/dose / 50micrograms/dose nasal spray,Fluticasone propionate/azelastine hydrochloride (Nasal)
1305020L0BBAAAJ,Meladinine 10mg tablets,Methoxsalen
1315000G0AABLBL,Generic Pigmanorm cream,Depigmenting agents
1404000ATBGATCC,Comirnaty LP.8.1 COVID-19 Vacc 30microg/0.3ml dose inj pfs,Coronavirus vaccine
1404000ATBHAGCE,Spikevax LP.8.1 COVID-19 Vacc 0.1mg/ml inj md vials,Coronavirus vaccine
1404000L0AAAGAG,Pneumococcal polysaccharide conjugated vacc inj 0.5ml pfs,Pneumococcal
20033000197,FarlaCONTACT dressing 20cm x 30cm,Wound Management & Other Dressings
20033000245,Moderex Border Plus dressing 23.5cm x 25cm sacral,Wound Management & Other Dressings
20033000418,UNO+ Hybrid dressing 10cm x 30cm,Wound Management & Other Dressings
20033000595,kliniderm Foam Silicone Border Flexible dressing 10cm x 20cm,Wound Management & Other Dressings
20033000599,GBUK Silicone Foam Border dressing 10cm x 10cm,Wound Management & Other Dressings
20033000623,kliniderm super fiber dressing 10cm x 10cm square,Wound Management & Other Dressings
20050600295,Laryngotec Kombi Stoma Button Fix short (non-sterile) size 12,Tracheostomy & Laryngectomy Appliances
21012600283,"Balance gellhorn pessary size 7, 83mm diameter, silicone, short stem",Other Appliances
21012600284,"Balance gellhorn pessary size 8, 89mm diameter, silicone, short stem",Other Appliances
21012600288,VentiChamber with medium mask,Other Appliances
21012600295,embecta Micro-Fine hypod ins needles for pf / reusable pen injectors screw on 8mm/31gauge,Other Appliances
21012600330,Microdot Triple Safety Pen hypod ins needles for pf / reusable pen injectors screw on 4mm/31gauge,Other Appliances
21012600332,"ProFem ring pessary size 3, 64mm diameter, silicone without support",Other Appliances
21012600334,"ProFem ring pessary size 4, 70mm diameter, silicone without support",Other Appliances
21020001624,CareTip hydrophilic catheter male Tiemann tip 8Ch-18Ch,Catheters
21020001625,The Ugobox Ugo 1C open ended catheter male 12Ch-16Ch,Catheters
21020001628,SpeediCath Standard catheter male 8Ch-18Ch,Catheters
21020001632,SpeediCath Standard catheter female 8Ch-16Ch,Catheters
21020001635,SpeediCath Standard catheter male Tiemann tip 10Ch-16Ch,Catheters
21220000337,MenthAq 10% cream,Emollients
21220000339,AAA 10% Urea cream,Emollients
21270003112,Varisan Fashion class 2 (23-32mmHg) thigh length open toe,Lymphoedema Garments
21270003158,Haddenham Goldpunkt custom fit partial lining for lymphoedema garment lower extremities,Lymphoedema Garments
21270003162,Haddenham Pertex Light custom fit T-Heel for lymphoedema garment,Lymphoedema Garments
21270003164,Haddenham Pertex custom fit T-Heel for lymphoedema garment,Lymphoedema Garments
21270003166,Haddenham Goldpunkt custom fit T-Heel for lymphoedema garment,Lymphoedema Garments
21300000999,AaCarb PF Carbomer 0.2% eye gel 0.6ml unit dose preservative free,Eye Products
21300001001,iGel 0.2% eye drops preservative free,Eye Products
21300001002,Aactive HA PF 0.4% eye drops preservative free,Eye Products
22506155036,"SpiritCare sterile leg bag with lever tap and leg straps 750ml bag, short tube",Leg Bags
22606156024,LINC-Flo non-sterile drainable night drainage bag,Night Drainage Bags
22606156025,LINC-Flo sterile drainable night drainage bag,Night Drainage Bags
23301083211,Fulcionel ostomy/hernia support tube belt with hole cutting extra small 15cm white,Belts
23305951214,Stomex abdominal support belt size 3,Belts
23605906372,Option hydrocolloid low profile soft convex ileo bag + filter & window 28mm plateau 10-28mm black,Ileostomy Bags
23605906391,NovaLife TRE convex high output ileostomy bag 15-46mm opaque,Ileostomy Bags
23605906394,NovaLife TRE soft convex high output ileostomy bag 15-44mm clear,Ileostomy Bags
23605906395,NovaLife TRE soft convex high output ileostomy bag 15-54mm clear,Ileostomy Bags
23806558016,CliniShield Advance protective barrier cream 2g sachets,Skin Fillers And Protectives
23963249622,Nu-Hope urostomy bag large 31mm,Urostomy Bags
