BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0902012H0BXAAA0,SOS Daily Hydration oral powder sachets mixed berry,Oral rehydration salts
0902012H0BXABA0,SOS Daily Hydration oral powder sachets lemon,Oral rehydration salts
0913011AABBAAAA,Fortisip PlantBased 2kcal liquid (4 flavours),RtS 2-2.4 kcal/ml m/sk hi prot hi eng plant based (0913011)
0913011J0BBAAAF,Aymes Actagain Creme dessert (4 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913011J0BBABAH,Aymes Actagain Creme Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)
0913461F0BEAAAD,Juvela gluten free fibre penne,Specialist food replacer OTC or disc pasta (0913461)
0913461F0BEACAD,Juvela gluten free pasta lasagne,Specialist food replacer OTC or disc pasta (0913461)
0913461I0BBABAA,Glutafin gluten free crispbread,Specialist food replacer OTC/disc savoury biscuits (0913461)
0914011C0BEAAAG,Compleat 1.1 tube feed liquid,Tube feed 1 kcal/ml with fibre (0914011)
1315000G0BLAAA0,Pigmanorm cream (invalid),Depigmenting agents
190205500BCNIA0,Hizorb Premium patient cleansing dry wipes,Other toiletry preparations
190205500BCNKA0,Hizorb Economy patient cleansing dry wipes,Other toiletry preparations
21012400112,Hedrin Kills Head Lice liquid gel,Other Appliances
21012400114,Hedrin Kills Head Lice spray gel,Other Appliances
23304103061,Confidence BE adjustable ostomy belt 100cm black,Belts
23304103062,Confidence BE adjustable ostomy belt 100cm stone,Belts
23304103063,Confidence BE adjustable ostomy belt 100cm white,Belts
23351003839,"SenSura Mio colostomy bag with filter, mini 15-45mm neutral grey",Colostomy Bags
23351003840,"SenSura Mio colostomy bag with filter, midi 15-45mm neutral grey",Colostomy Bags
23351003841,"SenSura Mio colostomy bag with filter, midi 25mm neutral grey",Colostomy Bags
23351003842,"SenSura Mio colostomy bag with filter, midi 30mm neutral grey",Colostomy Bags
23351003843,"SenSura Mio colostomy bag with filter, midi 35mm neutral grey",Colostomy Bags
23351003844,"SenSura Mio colostomy bag with filter, maxi 15-45mm neutral grey",Colostomy Bags
23351003845,"SenSura Mio colostomy bag with filter, maxi 30mm neutral grey",Colostomy Bags
23351003846,"SenSura Mio colostomy bag with filter, maxi 35mm neutral grey",Colostomy Bags
23351003847,"SenSura Mio colostomy bag with filter, maxi 40mm neutral grey",Colostomy Bags
