BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0407020AHBBAEAE,Tapimio 250mg modified-release capsules,Tapentadol phosphate (old)
0407020AGAAAEAE,Tapentadol 150mg modified-release tablets,Tapentadol
0407020AGBCAEAF,Ationdo SR 200mg tablets,Tapentadol
0407020AGBBAHAH,Palexia 20mg/ml oral solution,Tapentadol
0407020AGAAABAB,Tapentadol 75mg tablets,Tapentadol
0407020AHAAACAC,Tapentadol 150mg modified-release capsules,Tapentadol phosphate (old)
0407020AGAAAFAF,Tapentadol 200mg modified-release tablets,Tapentadol
0407020AHAAADAD,Tapentadol 200mg modified-release capsules,Tapentadol phosphate (old)
0407020AGBBADAD,Palexia SR 100mg tablets,Tapentadol
0407020AGBBAFAF,Palexia SR 200mg tablets,Tapentadol
0407020AGBBAEAE,Palexia SR 150mg tablets,Tapentadol
0407020AGBDAAAC,Tadomon 50mg prolonged-release tablets,Tapentadol
0407020AGBBACAC,Palexia SR 50mg tablets,Tapentadol
0407020AHBBABAB,Tapimio 100mg modified-release capsules,Tapentadol phosphate (old)
0407020AGBBABAB,Palexia 75mg tablets,Tapentadol
0407020AGAAACAC,Tapentadol 50mg modified-release tablets,Tapentadol
0407020AHAAABAB,Tapentadol 100mg modified-release capsules,Tapentadol phosphate (old)
0407020AGAAADAD,Tapentadol 100mg modified-release tablets,Tapentadol
0407020AGAAAHAH,Tapentadol 20mg/ml oral solution sugar free,Tapentadol
0407020AGBCAAAI,Ationdo SR 25mg tablets,Tapentadol
0407020AGBCAFAG,Ationdo SR 250mg tablets,Tapentadol
0407020AGAAAIAI,Tapentadol 25mg modified-release tablets,Tapentadol
0407020AGAAAAAA,Tapentadol 50mg tablets,Tapentadol
0407020AGBBAAAA,Palexia 50mg tablets,Tapentadol
0407020AGAAAGAG,Tapentadol 250mg modified-release tablets,Tapentadol
0407020AGBCACAD,Ationdo SR 100mg tablets,Tapentadol
0407020AGBCADAE,Ationdo SR 150mg tablets,Tapentadol
0407020AHAAAEAE,Tapentadol 250mg modified-release capsules,Tapentadol phosphate (old)
0407020AGBBAGAG,Palexia SR 250mg tablets,Tapentadol
0407020AGBCABAC,Ationdo SR 50mg tablets,Tapentadol
0407020AHAAAAAA,Tapentadol 50mg modified-release capsules,Tapentadol phosphate (old)
0913451F0BBADAA,Promin Plus low protein pasta spirals,Food replacer discontinued or OTC pasta (0913451)
