vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
8271511000001106,Acetazolamide 500mg/5ml oral suspension,774413005.0,Acetazolamide
45593211000001102,Aflibercept 6.6mg/165microlitres solution for injection pre-filled syringes,774443007.0,Aflibercept
8273011000001102,Allopurinol 300mg/5ml oral solution,774482009.0,Allopurinol
43186211000001105,Baloxavir marboxil 80mg tablets,4.03380110000011e+16,Baloxavir marboxil
45354511000001107,Generic Comirnaty LP.8.1 Children 6 months - 4 years COVID-19 mRNA Vaccine 3micrograms/0.3ml dose dispersion for injection multidose vials,3.93307110000011e+16,COVID-19 vaccine
45435911000001105,Canakinumab 150mg/1ml solution for injection pre-filled disposable devices,775027002.0,Canakinumab
17870411000001103,Clonazepam 500microgram orodispersible tablets,775309006.0,Clonazepam
45283411000001105,Dopamine 225mg/50ml solution for infusion vials,775687004.0,Dopamine
45283511000001109,Dopamine 45mg/30ml solution for infusion vials,775687004.0,Dopamine
8515511000001106,Fludrocortisone 150micrograms/5ml oral suspension,775983003.0,Fludrocortisone
45010611000001106,Garadacimab 200mg/1.2ml solution for injection pre-filled disposable devices,4.499301100000111e+16,Garadacimab
44947511000001100,Latanoprost 50micrograms/ml eye drops 0.3ml unit dose preservative free,776481004.0,Latanoprost
45010911000001100,Macitentan 2.5mg dispersible tablets sugar free,776597006.0,Macitentan
40917211000001108,Rosuvastatin 15mg tablets,777471008.0,Rosuvastatin
45628911000001100,Ruxolitinib 5mg/ml oral solution sugar free,777477007.0,Ruxolitinib
45283811000001107,Sodium phenylbutyrate 350mg/ml oral solution sugar free,230391000001105.0,Sodium phenylbutyrate
45490311000001109,Vigabatrin 100mg/ml oral solution sugar free,777931009.0,Vigabatrin
42668411000001101,Zilucoplan 16.6mg/0.416ml solution for injection pre-filled syringes,4.265971100000111e+16,Zilucoplan
29839711000001109,Activated charcoal absorbent dressing 20cm x 20cm,,
41871511000001105,Generic K.Flo liquid,,
29768411000001103,Generic Lipikar Baume AP+ Lipid-Replenishing balm,,
45622811000001108,Generic Pigmanorm cream,,
41911311000001103,Intestinal adsorbents,,
7290011000001105,Nelaton catheter female 8Ch,,
