BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0606010U0BBABAC,Forsteo 20micrograms/80microlitres dose inj 2.4ml pf pens,Teriparatide
0606020V0AAADAD,Zoledronic acid 4mg/100ml solution for infusion bottles,Zoledronic acid
091102000BBHZBA,Bio-Ubiquinol Active QH 100mg capsules,Other enzyme preparations 0911020
0913261H0BDAAAC,Loprofin low protein part baked loaf sliced,Specialist food replacer bread (0913261)
0913641A0BBAAAA,Respifor milkshake style liquid (3 flavours),Ready to serve 1.5 kcal/ml milkshake lower volume (0913641)
120101050AAABAB,Dexamethasone 0.1%/Neomycin 0.5%/Acetic acid (glacial) 2%,Dexamethasone
21070630165,Doff N' Donner Rolly compression hosiery applicator,Elastic Hosiery
21120000163,1 Easy peak flow meter standard range,Peak Flow Meters
21120000164,1 Easy peak flow meter low range,Peak Flow Meters
21270002703,Juzo Adjustable Compression System Light liner below knee,Lymphoedema Garments
23603356244,Option Alginate soft convex ileostomy bag with filter and soft touch closure 25mm plateau 20mm,Ileostomy Bags
23603356247,Option Alginate soft convex ileostomy bag with filter and soft touch closure 35mm plateau 20mm,Ileostomy Bags
23603356250,Option Alginate soft convex ileostomy bag with filter and soft touch closure 35mm plateau 25mm,Ileostomy Bags
23603356255,Option Alginate soft convex ileostomy bag with filter and soft touch closure 45mm plateau 20mm,Ileostomy Bags
23603356258,Option Alginate soft convex ileostomy bag with filter and soft touch closure 45mm plateau 25mm,Ileostomy Bags
23603356272,Option soft convex ileostomy bag with filter and soft touch closure 45mm plateau 20-44mm opaque,Ileostomy Bags
23603356277,Option Alginate soft convex ileostomy bag with filter and soft touch closure 35mm plateau 30mm,Ileostomy Bags
23603356278,Option Alginate soft convex ileostomy bag with filter and soft touch closure 45mm plateau 30mm,Ileostomy Bags
23603356301,Option soft convex ileostomy bag with filter and soft touch closure 57mm plateau 20-57mm opaque,Ileostomy Bags
23850908505,HyperSeal mouldable seal small,Skin Protectors
23850908508,HyperSeal mouldable seal with Manuka honey 19mm (50mm outer diameter) 2.5mm,Skin Protectors
23850908509,HyperSeal mouldable seal with Manuka honey 19mm (50mm outer diameter) 4mm,Skin Protectors
23850908510,HyperSeal mouldable seal with Manuka honey 19mm (100mm outer diameter) 2.5mm,Skin Protectors
23850908511,HyperSeal mouldable seal with Manuka honey 30mm (60mm outer diameter) 2.5mm,Skin Protectors
23850908512,HyperSeal mouldable seal with Manuka honey 40mm (70mm outer diameter) 2.5mm,Skin Protectors
23850908513,HyperSeal mouldable seal with Manuka honey 50mm (80mm outer diameter) 2.5mm,Skin Protectors
