vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
46032111000001109,Acetylcysteine 600mg soluble tablets sugar free,774424007.0,Acetylcysteine
46022111000001106,Aripiprazole 300mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,774636008.0,Aripiprazole
45531311000001101,"Generic Nuvaxovid JN.1 COVID-19 Vaccine (recombinant, adjuvanted) 5micrograms/0.5ml dose dispersion for injection pre-filled syringes",3.93307110000011e+16,COVID-19 vaccine
45569411000001104,Generic Spikevax LP.8.1 COVID-19 mRNA Vaccine 0.1mg/1ml dispersion for injection multidose vials,3.93307110000011e+16,COVID-19 vaccine
46015411000001104,Depemokimab 100mg/1ml solution for injection pre-filled syringes,4.601301100000111e+16,Depemokimab
41545411000001106,Levetiracetam 750mg granules for oral solution sachets sugar free,776508005.0,Levetiracetam
45472411000001107,Levodopa 33mg inhalation powder capsules with device,776515002.0,Levodopa
45988411000001100,Liothyronine 10micrograms/1ml solution for injection vials,776546003.0,Liothyronine
45769011000001109,Selpercatinib 40mg tablets,876868001.0,Selpercatinib
8399011000001103,Sodium chloride 0.9% nebuliser liquid 20ml unit dose vials,777553004.0,Sodium chloride
27441011000001106,Tiagabine 2.5mg/5ml oral suspension,777762000.0,Tiagabine
45988711000001106,Zolbetuximab 300mg powder for solution for infusion vials,4.353281100000111e+16,Zolbetuximab
7282511000001100,Compression hosiery class III thigh length stocking circular knit made to measure,,
45749611000001107,Generic CeraVe moisturising cream,,
3128611000001104,Hydrocolloid dressing thin semi-permeable sterile without adhesive border 20cm x 20cm square,,
45795111000001105,Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units,,
20125511000001105,Silk mittens 8-14 years,,
