BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106040M0BLABAA,Strigol oral powder 13.72g sachets orange,Macrogol 3350
0202030S0BKABEI,Urospir 25mg/5ml oral solution,Spironolactone
0402020ADAAACAC,Aripiprazole 960mg/3.2ml prolonged-release inj pf syringes,Aripiprazole
040702040BEACAD,Dromadol SR 150mg tablets,Tramadol hydrochloride
0407020AFBEADAC,Sofonac 5mg/2.5mg modified-release tablets,Oxycodone hydrochloride/naloxone hydrochloride
0407020AFBEABAB,Sofonac 20mg/10mg modified-release tablets,Oxycodone hydrochloride/naloxone hydrochloride
0407020A0BYAGCB,Iremia 133microgram sublingual tablets,Fentanyl
0407020A0BYAKCF,Iremia 67microgram sublingual tablets,Fentanyl
0407041T0BGAAAF,MigraKind 50mg tablets,Sumatriptan succinate
0410030B0AAAIAI,Buprenorphine 5.7mg / Naloxone 1.4mg SL tab sugar free,Buprenorph hydrochloride/naloxone hydrochloride
0411000D0BCAAAD,Apozyl 5mg orodispersible tablets,Donepezil hydrochloride
0501011P0AAAUAU,Phenoxymethylpenicillin 500mg tablets,Phenoxymethylpenicillin (Penicillin V)
0601022B0BUACAS,Rudimet 500mg prolonged-release tablets,Metformin hydrochloride
0601023ABBFAAAA,Diavic 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide
0603020J0AACMCM,Hydrocortisone 50micrograms/5ml oral suspension,Hydrocortisone
0704020AFBBAAAA,Obgemsa 75mg tablets,Vibegron
0802040BBAAABAB,Siponimod 2mg tablets,Siponimod
0902012H0AAAQAQ,Generic Electrorush ORS oral powder sachets,Oral rehydration salts
0906031C0CKACAH,AascorbDose 200mg tablets,Ascorbic acid
0906040G0EMABFI,AaceCa D3 1250mg/400unit chewable tablets,Colecalciferol
0906040G0BIATEE,"Pro D3 4,000unit tablets",Colecalciferol
091200000BFXUGB,Kalms Day 26mg tablets,Other health supplement preparations
0913021E0BFABAF,Aymes ActaJuni Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913021)
0913141A0BEAAAB,Altrapro liquid (2 flavours),RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913141A0BBAEAA,Renapro Shot 60ml bottles pineapple & coconut,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913261K0AAAAAA,Generic Loprofin low protein pasta,Specialist food replacer pasta (0913261)
0913282A0BCABAC,Paravit-Mod liquid,Liquid micronutrient supplement (0913282)
0913471B0BBABAB,AquADEKS capsules,Tabs/Caps OTC cond specific vitamin & mineral supp (0913471)
1001030S0BCAFAD,Amgevita 40mg/0.4ml solution for injection pre-filled pens,Adalimumab
1001030S0BHACAH,Yuflyma 80mg/0.8ml solution for injection pre-filled pens,Adalimumab
1404000ATBHAEBR,Spikevax JN.1 COVID-19 Vacc 0.1mg/ml inj md vials,Coronavirus vaccine
190205500BCQRA0,Nizoral Scalp Soothing Dry & Eczema Prone shampoo,Other toiletry preparations
20033000470,MaxioCel dressing 45cm x 45cm square,Wound Management & Other Dressings
20033000457,Clarity Care Silicone Foam Border dressing 10cm x 30cm,Wound Management & Other Dressings
20033000504,Suprasorb Liquacel Ag dressing 5cm x 5cm square,Wound Management & Other Dressings
20033000503,Biopad Collagen dressing 10cm x 10cm square,Wound Management & Other Dressings
20033000508,Hydrocyn Aqua Gel dressing,Wound Management & Other Dressings
20033000487,Clarity Care Silicone Wound Contact Layer One Sided Adhesive dressing 10cm x 10cm,Wound Management & Other Dressings
21012600223,LimbO limb protector adult full leg standard build long,Other Appliances
21012600214,AactiWax Olive Oil ear drops,Other Appliances
21012600217,LimbO limb protector adult full arm slim build,Other Appliances
21012600215,AactiWax Sodium Bicarbonate 5% ear drops,Other Appliances
21012600216,LimbO limb protector adult half leg extra large,Other Appliances
21012600219,LimbO limb protector adult full arm large build,Other Appliances
21012600224,LimbO limb protector adult full leg extra large,Other Appliances
21020001602,Liquick X-treme catheter male Tiemann tip 12Ch-16Ch,Catheters
21120000166,AerEase peak flow meter low range,Peak Flow Meters
21120000165,AerEase peak flow meter standard range,Peak Flow Meters
21240000197,AactiNose 0.9% nasal drops,Nasal Products
21270002971,Juzo Compression Wrap hand,Lymphoedema Garments
21270003002,Juzo Intenso class 2 (23-32mmHg) below knee closed toe max,Lymphoedema Garments
21270003073,Biflex Self Adjust foot,Lymphoedema Garments
21270002992,Juzo Intenso class 3 (34-46mmHg) below knee closed toe,Lymphoedema Garments
22306153081,Urimed Vision latex free adhesive sheath type III ultra 32mm,Incontinence Sheaths
22306153075,Urimed Vision latex free adhesive sheath type II specific 29mm,Incontinence Sheaths
22306153083,Urimed Vision latex free adhesive sheath type III ultra 41mm,Incontinence Sheaths
23301083279,Fulcionel ostomy/hernia support tube belt with hole cutting medium 26cm black,Belts
23355903694,"Emperor colostomy bag with filter, standard 30mm beige",Colostomy Bags
23355903749,Esteem Body soft convex colostomy bag large with window 7mm depth 40mm plateau 25mm stoma,Colostomy Bags
23355903743,Esteem Body soft convex colostomy bag large with window 3.5mm depth 40mm plateau 30mm stoma,Colostomy Bags
23355903737,Esteem Body soft convex colostomy bag large 7mm depth 60mm plateau 10mm-55mm clear,Colostomy Bags
23605906333,Option Alginate low profile soft convex ileostomy bag with filter 28mm plateau 20mm opaque,Ileostomy Bags
23605906290,Esteem Body soft convex ileostomy bag large 7mm depth 50mm plateau 10mm-45mm clear,Ileostomy Bags
23605906298,Esteem Body soft convex ileostomy bag large with window 3.5mm depth 40mm plateau 35mm stoma,Ileostomy Bags
23605906334,Option Alginate low profile soft convex ileostomy bag with filter 28mm plateau 25mm opaque,Ileostomy Bags
23605906360,Option hydrocolloid low profile soft convex ileo bag + filter & window 47mm plateau 15-47mm opaque,Ileostomy Bags
23605906268,Esteem Body soft convex ileostomy bag standard 7mm depth 30mm plateau 10mm-25mm clear,Ileostomy Bags
23945909655,Ostoform Flowassist two piece ostomy system baseplate 32-38mm,Two Piece Ostomy Systems
23945909652,Ostoform Flowassist two piece ostomy system ileostomy bag 57mm beige,Two Piece Ostomy Systems
23965909813,Esteem Body soft convex urostomy bag standard 3.5mm depth 40mm plateau 10mm-35mm clear,Urostomy Bags
23965909762,"Confidence BE urostomy bag with cover on both sides, standard 32mm white",Urostomy Bags
23965909752,"Confidence BE urostomy bag with cover on both sides, standard 32mm black",Urostomy Bags
23965909814,Esteem Body soft convex urostomy bag standard 3.5mm depth 50mm plateau 10mm-45mm clear,Urostomy Bags
