BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0913011G0BBADAB,Aymes ActaSolve Delight powder 57g sachets mixed berries,Powder 2.6 kcal/g dessert style (milk based) (0913011)
0913011G0BBAAAA,Aymes ActaSolve Delight Starter Pack powder,Powder 2.6 kcal/g dessert style (milk based) (0913011)
0913011G0BBACAB,Aymes ActaSolve Delight powder 57g sachets lemon,Powder 2.6 kcal/g dessert style (milk based) (0913011)
0913011G0BBABAB,Aymes ActaSolve Delight powder 57g sachets butterscotch,Powder 2.6 kcal/g dessert style (milk based) (0913011)
0914011E0BCAAAB,Osmolite Plus liquid,Tube feed 1.2 kcal/ml higher protein (0914011)
0914011E0BBAAAA,Nutrison Protein Plus liquid,Tube feed 1.2 kcal/ml higher protein (0914011)
