BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0105010B0BKABBC,Salcrozine 1000mg gastro-resistant tablets,Mesalazine (Systemic)
0401020B0AAACAC,Buspirone 5mg/5ml oral solution,Buspirone hydrochloride
0606010U0BDAAAD,Movymia 20microg/80microlitres dose inj 2.4ml cart with pen,Teriparatide
0606020V0AAACAC,Zoledronic acid 5mg/100ml solution for infusion bottles,Zoledronic acid
0905013F0AAAEAE,Magnesium citrate 1.83g granules for oral solution sachets,Magnesium citrate
0913011S0BBAAAA,Aymes Actagain 2.4 liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
0913011S0BBABAF,Aymes Actagain 2.4 Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
0913011X0BBAAAA,Aymes Actagain 2.4 Daily Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011)
0913011X0BBABAB,Aymes Actagain 2.4 Daily liquid (3 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011)
0913471B0BBABAB,AquADEKS capsules,Tabs/Caps OTC cond specific vitamin & mineral supp (0913471)
1502010J0AAELEL,Lidocaine 700mg medicated plasters,Lidocaine hydrochloride
21010230178,EasyChamber Spacer with adult mask 6 years - adult,Other Appliances
21010900812,Vitrex Lite III safety lancets 1.8mm/18gauge,Other Appliances
21010900813,Vitrex Lite III safety lancets 1.8mm/21gauge,Other Appliances
21010900815,Vitrex Lite III safety lancets 1.8mm/28gauge,Other Appliances
21011300317,Bloccs Waterproof Cast & Dressing Cover limb protector adult elbow/PICC large,Other Appliances
21020001153,VaPro Plus No Touch catheter male 12Ch-14Ch,Catheters
21020001154,VaPro Plus No Touch catheter female 12Ch-14Ch,Catheters
21020001470,VaPro Plus Pocket No Touch catheter male 8Ch-16Ch,Catheters
21020001471,VaPro Plus Pocket No Touch catheter female 8Ch-14Ch,Catheters
21020001501,VaPro Plus F-Style No Touch catheter male 12Ch-14Ch,Catheters
21020001587,Luja pocket size catheter male 8Ch-14Ch,Catheters
23155901501,Offmore adhesive remover spray,Adhesive Removers (Sprays/Liquids/Wipes)
