vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
40388411000001101,Ascorbic acid 1g effervescent tablets sugar free,774644008.0,Ascorbic acid
4245111000001100,Ascorbic acid 500mg modified-release capsules,774644008.0,Ascorbic acid
8354911000001105,Carbamazepine 500mg/5ml oral suspension,775043009.0,Carbamazepine
30956211000001101,Coal tar solution 6% / Salicylic acid 3% in Emulsifying ointment,1177105007.0,Coal tar + Salicylic acid
28881411000001106,Dithranol 0.01% in Yellow soft paraffin,775666009.0,Dithranol
44923611000001107,"Efanesoctocog alfa 4,000unit powder and solvent for solution for injection vials",4.49132110000011e+16,Efanesoctocog alfa
42337011000001108,Gadobutrol 1mmol/ml solution for injection 30ml bottles,776062000.0,Gadobutrol
36048211000001101,Insulin soluble human 100units/ml solution for injection 1.5ml cartridges,776207001.0,Insulin soluble human
13000011000001108,Mirtazapine 75mg/5ml oral suspension,776803007.0,Mirtazapine
29768711000001109,Monobenzone 40% in Aqueous cream,776822003.0,Monobenzone
45427311000001104,Rifampicin 300mg / Isoniazid 150mg capsules,776414001.0,Rifampicin + Isoniazid
35926511000001106,Sodium cromoglicate 2% eye drops unit dose preservative free,3.641031100000111e+16,Sodium cromoglicate
45412711000001108,Sodium hyaluronate 1.8% ophthalmic viscosurgical device 0.85ml pre-filled syringes,4.25961110000011e+16,Sodium hyaluronate
42871211000001108,Trientine 100mg capsules,777844003.0,Trientine
44836311000001102,Generic Fresubin Plant-Based drink,,
42457911000001101,Generic Mugwort (Artemisia vulgaris) pollen 50HEP/ml solution for skin prick test,,
35398811000001109,Generic PKU express plus20 powder 34g sachets,,
42941311000001107,Generic Pepper 50micrograms/ml solution for skin prick test,,
42429111000001109,Generic Spring Trees mix pollen 2.6mg/ml solution for skin prick test,,
39350111000001103,Generic Ultra-TechneKow FM [Mo-99]/[Tc-99m] 8.6GBq radionuclide generator,,
45436211000001107,Generic Wellbaby Multivitamin drops,,
44056611000001107,Limb protectors adult full arm slim build,,
3426711000001108,Suspensory bandage cotton type 3 extra large,,
