BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0107010AAAAAQAQ,Diltiazem 0.4% ointment,Diltiazem hydrochloride
0205052AEAAADAD,Sacubitril 6mg / Valsartan 6mg gran in caps for opening,Sacubitril/valsartan
0206010K0CVAAAE,Medomon XL 60mg tablets,Isosorbide mononitrate
0208020X0BBAIAI,Pradaxa 150mg granules sachets,Dabigatran etexilate
0304020AAAAAAAA,Benralizumab 30mg/1ml inj pre-filled syringes,Benralizumab
0402010J0AABGBG,Haloperidol 200micrograms/5ml oral liquid,Haloperidol
0402020AAAAAEAE,Risperidone 100mg prolonged-release inj pre-filled syringes,Risperidone
0404000U0BDAFAE,Elvanse Adult 60mg capsules,Lisdexamfetamine dimesylate
0407020A0BWAEAN,Cynril 1.2mg lozenges with integral oromucosal applicator,Fentanyl
0407020B0AAALAL,Buprenorphine 25micrograms/hour transdermal patches,Buprenorphine
0407042U0AAABAB,Atogepant 60mg tablets,Atogepant
0407042U0BBAAAA,Aquipta 10mg tablets,Atogepant
0407042U0AAAAAA,Atogepant 10mg tablets,Atogepant
0408010ALAAAFAF,Brivaracetam 50mg/5ml solution for injection vials,Brivaracetam
0410030B0BCAAAG,Zubsolv 1.4mg/0.36mg sublingual tablets,Buprenorph hydrochloride/naloxone hydrochloride
0601022B0BUAAAT,Rudimet 750mg Prolonged Release tablets,Metformin hydrochloride
0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide
0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide
0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide
0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide
0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide
0704020J0BCACAZ,Ditropan 2.5mg/5ml elixir,Oxybutynin
0704050Z0BHAAAA,Liberize 50mg tablets,Sildenafil (Erectile Dysfunction)
0801050CLAAAAAA,Abemaciclib 100mg tablets,Abemaciclib
0802010G0AACPCP,Azathioprine 50mg/5ml oral suspension sugar free,Azathioprine
0802020U0AAAGAG,Sirolimus 2mg/g gel,Sirolimus
0901030U0BBACAC,Evrenzo 70mg tablets,Roxadustat
0906040G0ETADFL,"BetterYou Vitamin D 3,000units Daily oral spray",Colecalciferol
0906040G0ETAAFD,"BetterYou D1000 Vitamin D 1,000units Daily oral spray",Colecalciferol
0913191A0AAAAAA,Generic Fructose Module powder,Powder carbohydrate supplement (0913191)
0913211B0AAADAD,Generic S.O.S25 oral powder 52g sachets,Powder energy (carbohydrate) fortifier (0913211)
0913451H0BCAAAB,Mevalia low protein grissini,Food replacer discontinued or OTC savoury biscuits (0913451)
0913501A0AAAAAA,Generic SMA Advanced First Infant milk powder,Powder OTC infant formulae (0913501)
0913511A0BBABAD,SMA Advanced Growing Up milk powder,Powder OTC follow on formula (0913511)
0914011N0AAAAAA,Generic TwoCal liquid,Tube feed 2 kcal/ml with fibre (0914011)
1001030AEAAABAB,Upadacitinib 30mg modified-release tablets,Upadacitinib
