vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
44882611000001100,Clascoterone 10mg/g cream,898165001,Clascoterone
45332311000001107,Generic Alyftrek 125mg/50mg/10mg tablets,45328811000001103,Deutivacaftor + Tezacaftor + Vanzacaftor
45332411000001100,Generic Alyftrek 50mg/20mg/4mg tablets,45328811000001103,Deutivacaftor + Tezacaftor + Vanzacaftor
45489811000001108,Pirtobrutinib 100mg tablets,45488611000001100,Pirtobrutinib
45489911000001103,Pirtobrutinib 50mg tablets,45488611000001100,Pirtobrutinib
45412811000001100,Teplizumab 2mg/2ml solution for infusion vials,45410811000001101,Teplizumab
