BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0110010A0BBAAAA,Hepa-Merz Granulat 3000 granules for oral solution sachets,L-Ornithine-L-Aspartate
0301011R0CBACCD,Brodilaten 2.5mg/2.5ml nebuliser solution unit dose ampoules,Salbutamol
0302000AABBAAAA,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000AABBABAB,Trimbow 172microg/dose / 5microg/dose / 9microg/dose inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000AABBACAC,Trimbow NEXThaler 88microg/5microg/9microg/dose dry pdr inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0407020A0BYAMBX,Iremia 133microgram sublingual tablets,Fentanyl
0407020A0BYAPAZ,Iremia 400microgram sublingual tablets,Fentanyl
0407020AGAAAJAJ,Tapentadol 50mg modified-release capsules,Tapentadol
0407020AGAAAKAK,Tapentadol 100mg modified-release capsules,Tapentadol
0407020AGAAALAL,Tapentadol 150mg modified-release capsules,Tapentadol
0407020AGAAAMAM,Tapentadol 200mg modified-release capsules,Tapentadol
0407020AGAAANAN,Tapentadol 250mg modified-release capsules,Tapentadol
0501013K0BBAQAP,Augmentin-Duo 400/57 oral suspension,Co-amoxiclav (Amoxicillin/clavulanic acid)
0606020V0BCAAAC,Aclasta 5mg/100ml solution for infusion bottles,Zoledronic acid
091102000BBDAAI,Bio-Quinone Q10 Super 30mg capsules,Other enzyme preparations 0911020
0913011Z0BBAAAA,Fortisip PlantBased 1.5kcal liquid mango passionfruit,Ready to serve 1.5 kcal/ml milkshake plant based (0913011)
0913011Z0BBABAA,Fortisip PlantBased 1.5kcal liquid mocha,Ready to serve 1.5 kcal/ml milkshake plant based (0913011)
0913061A0BBAAAA,Elemental 028 Extra liquid (3 flavours),Ready to serve 0.9 kcal/ml juice style liquid (0913061)
0913141A0BCAAAC,Aymes Actagain Protein Shot (2 flavours),RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913141A0BDAAAD,ProSource 20 liquid,RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913161A0AAAGAG,Carob seed flour powder,Powder thickener - gum based (0913161)
0913161A0BGAAAG,Instant Carobel powder,Powder thickener - gum based (0913161)
0913181Q0BBAAAA,Kanso DeliMCT CacaoBar,Specialist food replacer 4.8:1 confectionary (0913181)
0913261K0BCAPAG,Promin low protein pastameal,Specialist food replacer pasta (0913261)
0913311H0BCAAAB,Fortisip Yogurt Style liquid (3 flavours),Ready to serve 1.5 kcal/ml yoghurt style drink (0913311)
0913421A0BCAAAB,Resource Thickened Drink custard (2 flavours),Ready to serve discontinued pre-thickened drinks (0913421)
0913451J0BBAAAA,Mevalia Lattis low protein drink,Food replacer discontinued or OTC milk (0913451)
0913451L0BBAAAA,Mevalia low protein burger mix,Food replacer discontinued or OTC meat/fish (0913451)
0913461A0BDAAAC,Juvela gluten free crispy rice cereal,Specialist food replacer OTC/disc breakfast cereal (0913461)
0913461D0AAAEAE,Xanthan gum,Specialist food replacer OTC/disc flour additives (0913461)
0913461D0BFAAAE,Thixo-D Cal-Free powder,Specialist food replacer OTC/disc flour additives (0913461)
0913461E0BEACAL,Lifestyle gluten free brown bread sliced,Specialist food replacer OTC or disc bread (0913461)
0913461H0BIABAV,Lifestyle gluten free high fibre bread rolls,Specialist food replacer OTC/disc rolls/baguettes (0913461)
0913461H0BIACAW,Lifestyle gluten free white bread rolls,Specialist food replacer OTC/disc rolls/baguettes (0913461)
0913461J0BCAAAB,Juvela gluten free digestive biscuits,Specialist food replacer OTC/disc sweet biscuits (0913461)
0913662A0BBAAAA,SMA Soya powder,Powder soya based formula
0914011D0BCAAAB,Fresubin 1000 Complete liquid,"Tube feed 1 kcal/ml with fibre, higher protein (0914011)"
0914011D0BDAAAC,Nutrison 1000 Complete Multi Fibre liquid,"Tube feed 1 kcal/ml with fibre, higher protein (0914011)"
0914011J0BCABAE,Nutrison Energy Multi Fibre Vanilla liquid,Tube feed 1.5 kcal/ml with fibre (0914011)
0914011J0BDAAAD,Jevity 1.5kcal liquid,Tube feed 1.5 kcal/ml with fibre (0914011)
0914011P0BBAAAA,Fresubin 2kcal HP Fibre tube feed liquid,"Tube feed 2kcal/ml with fibre, higher protein (0914011)"
0914011Q0BBAAAA,Nutrison Protein Plus liquid,Tube feed 1.3kcal/ml higher protein (0914011)
0914051B0BBAAAA,ProSource TF plant liquid 45ml sachets,Tube feed additive 2kcal/ml h/prot plant based liq (0914051)
0914061A0BCAAAB,Nutrison Concentrated liquid,Tube feed non ACBS 1kcal/ml higher protein (0914061)
1001010APBCAAAA,Nurofen Pain Relief 256mg tablets,Ibuprofen sodium dihydrate
1104020AEAAAFAF,Ciclosporin 0.2% eye ointment preservative free,Ciclosporin (Eye Anti Inflammatory)
1104020AEAAAGAG,Ciclosporin 0.2% eye ointment,Ciclosporin (Eye Anti Inflammatory)
1104020AEAAAJAJ,Ciclosporin 0.05% eye dps 0.4ml unit dose preservative free,Ciclosporin (Eye Anti Inflammatory)
1106000ADBEABAC,Vizilatan Duo eye drops,Latanoprost and timolol
21010900814,Vitrex Lite III safety lancets 1.8mm/26gauge,Other Appliances
21011300312,Bloccs Waterproof Cast & Dressing Cover limb protector adult long arm,Other Appliances
21020001149,VaPro Pocket No Touch hydrophilic catheter male 10Ch-16Ch,Catheters
21020001458,Libra all slc cath + pfs of purified water for inflation & empty syrg for deflation male 12Ch-24Ch,Catheters
21020001461,VaPro Pocket No Touch hydrophilic catheter female 10Ch-14Ch,Catheters
21020001579,Libra Cath Kit catheter male short tube 12Ch-16Ch,Catheters
21020001580,Libra Cath Kit catheter male long tube 12Ch-16Ch,Catheters
21140000019,Liberty Hydro-Caine Gel pre-filled syringes,Lubricant Gels
21140000034,Liberty Gel Combi lubricating gel,Lubricant Gels
21140000037,Liberty Hydro-Caine Gel,Lubricant Gels
22302083000,Libra latex free sheath standard 24mm,Incontinence Sheaths
22302083001,Libra latex free sheath standard 28mm,Incontinence Sheaths
22302083002,Libra latex free sheath standard 31mm,Incontinence Sheaths
22302083003,Libra latex free sheath standard 35mm,Incontinence Sheaths
22302083004,Libra latex free sheath standard 40mm,Incontinence Sheaths
22302083005,Libra latex free sheath pop on 24mm,Incontinence Sheaths
22302083006,Libra latex free sheath pop on 28mm,Incontinence Sheaths
22302083007,Libra latex free sheath pop on 31mm,Incontinence Sheaths
22302083008,Libra latex free sheath pop on 35mm,Incontinence Sheaths
22302083009,Libra latex free sheath pop on 40mm,Incontinence Sheaths
22302083010,Libra latex free sheath wide band 24mm,Incontinence Sheaths
22302083011,Libra latex free sheath wide band 28mm,Incontinence Sheaths
22302083012,Libra latex free sheath wide band 31mm,Incontinence Sheaths
22302083013,Libra latex free sheath wide band 35mm,Incontinence Sheaths
22302083014,Libra latex free sheath wide band 40mm,Incontinence Sheaths
22302083015,Libra latex free sheath standard 33mm,Incontinence Sheaths
22302083016,Libra latex free sheath pop on 33mm,Incontinence Sheaths
22302083017,Libra latex free sheath wide band 33mm,Incontinence Sheaths
22602086000,Libra GB2 non-drainable night drainage bag,Night Drainage Bags
22602086001,Libra GB4 drainable night drainage bag,Night Drainage Bags
22602086002,Libra GB3 drainable night drainage bag,Night Drainage Bags
22602086003,Libra GB3S drainable night drainage bag,Night Drainage Bags
22602086005,Libra GB6 drainable night drainage bag,Night Drainage Bags
22602086006,Libra GB5 drainable night drainage bag,Night Drainage Bags
22606156014,Libra GB5S drainable night drainage bag,Night Drainage Bags
22800958001,Liberty leg bag sleeve small,Tubing And Accessories
22800958002,Liberty leg bag sleeve medium,Tubing And Accessories
22800958003,Liberty leg bag sleeve large,Tubing And Accessories
22802088003,Liberty Fix-It strap short,Tubing And Accessories
22802088004,Liberty Fix-It strap medium,Tubing And Accessories
22802088005,Liberty Fix-It strap long,Tubing And Accessories
22802088010,Liberty Fix-It strap adjustable,Tubing And Accessories
23152081500,Liberty Soft Skin No Sting medical adhesive remover aerosol,Adhesive Removers (Sprays/Liquids/Wipes)
23152081501,Liberty Soft Skin No Sting medical adhesive remover wipes,Adhesive Removers (Sprays/Liquids/Wipes)
23802088001,Liberty Soft Skin No Sting barrier wipes,Skin Fillers And Protectives
