BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0110010A0AAAAAA,L-Ornithine-L-Aspartate 3g gran for soln sachets,L-Ornithine-L-Aspartate
0110010A0BBAAAA,Hepa-Merz Granulat 3000 granules for oral solution sachets,L-Ornithine-L-Aspartate
0302000AABBACAC,Trimbow NEXThaler 88microg/5microg/9microg/dose dry pdr inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000AABBAAAA,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0302000AABBABAB,Trimbow 172microg/dose / 5microg/dose / 9microg/dose inh,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids)
0503040D0BBAAAA,Xofluza 40mg tablets,Baloxavir marboxil
0503040D0AAABAB,Baloxavir marboxil 80mg tablets,Baloxavir marboxil
0607020Y0AAACAC,Linzagolix 200mg tablets,Linzagolix
0802040BEBBAAAA,Rezurock 200mg tablets,Belumosudil
0913011Z0BBAAAA,Fortisip PlantBased 1.5kcal liquid mango passionfruit,Ready to serve 1.5 kcal/ml milkshake plant based (0913011)
0913011Z0BBABAA,Fortisip PlantBased 1.5kcal liquid mocha,Ready to serve 1.5 kcal/ml milkshake plant based (0913011)
0913061A0BBAAAA,Elemental 028 Extra liquid (3 flavours),Ready to serve 0.9 kcal/ml juice style liquid (0913061)
0913101B0BBAAAA,Similac Arize powder,Powder extensively hydrolysed formula rice based (0913101)
0913181Q0BBAAAA,Kanso DeliMCT CacaoBar,Specialist food replacer 4.8:1 confectionary (0913181)
0913421A0BCAAAB,Resource Thickened Drink custard (2 flavours),Ready to serve discontinued pre-thickened drinks (0913421)
0913451L0BBAAAA,Mevalia low protein burger mix,Food replacer discontinued or OTC meat/fish (0913451)
0913451J0BBAAAA,Mevalia Lattis low protein drink,Food replacer discontinued or OTC milk (0913451)
0913662A0BBAAAA,SMA Soya powder,Powder soya based formula
0914011Q0BBAAAA,Nutrison Protein Plus liquid,Tube feed 1.3kcal/ml higher protein (0914011)
0914011P0BBAAAA,Fresubin 2kcal HP Fibre tube feed liquid,"Tube feed 2kcal/ml with fibre, higher protein (0914011)"
0914051B0BBAAAA,ProSource TF plant liquid 45ml sachets,Tube feed additive 2kcal/ml h/prot plant based liq (0914051)
